study_id,record_id,doi,pmid,title,first_author,year,journal,study_type,organ_focus,modality,architecture_type,key_contribution,dice_reported,hd95_reported,dataset_used,code_available,inclusion_criteria_met
S023,23,10.1109/TMI.2019.2930068,31283474,Reducing the Hausdorff Distance in Medical Image Segmentation,Karimi D,2020,IEEE TMI,method,general,CT/MRI,CNN,Hausdorff distance loss,0.91,2.8,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S024,24,10.1109/CVPR46437.2021.01629,,clDice - a Novel Topology-Preserving Loss Function,Shit S,2021,CVPR,method,vessels,CT/MRI,CNN,Centerline Dice loss,0.847,,DRIVE/coronary,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S025,25,10.1109/TPAMI.2021.3100536,34339370,AbdomenCT-1K: Is Abdominal Organ Segmentation Solved?,Ma J,2022,IEEE TPAMI,benchmark,abdominal (4),CT,N/A,Large-scale benchmark,N/A,N/A,AbdomenCT-1K,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S026,26,10.1109/ICCV51070.2023.01934,,CLIP-Driven Universal Model for Organ Segmentation,Liu J,2023,ICCV,method,universal,CT,Foundation,Vision-language model,0.881,5.67,BTCV/AMOS,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S027,27,10.1109/CVPR.2016.90,,Deep Residual Learning for Image Recognition,He K,2016,CVPR,method,general,natural,CNN,Residual connections,N/A,N/A,ImageNet,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S028,28,10.1109/CVPR.2017.243,,Densely Connected Convolutional Networks,Huang G,2017,CVPR,method,general,natural,CNN,Dense connections,N/A,N/A,ImageNet,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S029,29,10.1109/ICCV48922.2021.00986,,Swin Transformer: Hierarchical Vision Transformer,Liu Z,2021,ICCV,method,general,natural,Transformer,Shifted window attention,N/A,N/A,ImageNet,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S030,30,10.1109/CVPR52688.2022.01167,,A ConvNet for the 2020s,Liu Z,2022,CVPR,method,general,natural,CNN,Modernized ConvNet,N/A,N/A,ImageNet,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S031,31,10.1109/ICCV.2017.324,,Focal Loss for Dense Object Detection,Lin TY,2017,ICCV,method,general,natural,CNN,Class imbalance handling,N/A,N/A,COCO,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S032,32,10.1109/TMI.2015.2478746,26353368,The multimodal brain tumor segmentation benchmark,Menze BH,2015,IEEE TMI,benchmark,brain tumor,MRI,N/A,BraTS benchmark,N/A,N/A,BraTS,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S033,33,10.48550/arXiv.2102.04306,,TransUNet: Transformers Make Strong Encoders,Chen J,2021,arXiv,method,multi-organ,CT,Hybrid,CNN-Transformer hybrid,0.773,,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S034,34,10.48550/arXiv.2109.03201,,nnFormer: Interleaved Transformer for Volumetric Segmentation,Zhou HY,2021,arXiv,method,multi-organ,CT/MRI,Transformer,Interleaved attention,0.869,,ACDC/Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S035,35,10.48550/arXiv.2304.06716,,STU-Net: Scalable and Transferable Medical Image Segmentation,Huang Z,2023,arXiv,method,multi-organ,CT,CNN,Large-scale pre-training,0.902,3.24,TotalSeg-14K,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S036,36,10.48550/arXiv.2304.02643,,Segment Anything,Kirillov A,2023,arXiv,method,general,natural,Foundation,Promptable segmentation,N/A,N/A,SA-1B,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S037,37,10.48550/arXiv.2308.16184,,SAM-Med3D: Towards General-purpose Segmentation,Wang H,2024,arXiv,method,universal,CT/MRI,Foundation,3D SAM adaptation,0.823,9.87,SA-Med3D-131K,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S038,38,10.48550/arXiv.2211.02701,,MONAI: An open-source framework for deep learning,Cardoso MJ,2022,arXiv,framework,general,multi,N/A,Medical AI framework,N/A,N/A,N/A,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S039,39,10.48550/arXiv.1704.06857,,A Review on Deep Learning Techniques for Semantic Segmentation,Garcia-Garcia A,2017,arXiv,review,general,multi,N/A,Segmentation review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S040,40,10.48550/arXiv.2206.08023,,AMOS: A Large-Scale Abdominal Multi-Organ Benchmark,Ji Y,2022,arXiv,benchmark,abdominal (15),CT/MRI,N/A,Multi-modality benchmark,N/A,N/A,AMOS,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S041,41,10.48550/arXiv.2308.05862,,FLARE 2022: Fast and Low-resource Abdominal Organ Segmentation,Ma J,2023,arXiv,challenge,abdominal,CT,N/A,Efficiency challenge,N/A,N/A,FLARE22,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S042,42,10.1186/s12880-024-01500-2,39568996,NNDA-UNETR: Dual Attention UNet Transformer,Fang Z,2024,BMC Medical Imaging,method,multi-organ,CT,Hybrid,Dual attention mechanism,0.862,7.89,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S043,43,10.1007/s10278-019-00227-x,31144149,Deep Learning Techniques for Medical Image Segmentation,Hesamian MH,2019,Journal of Digital Imaging,review,general,multi,N/A,Methods review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S044,44,10.1016/j.neuroimage.2012.01.021,22248573,FreeSurfer,Fischl B,2012,NeuroImage,software,brain,MRI,Classical,Brain analysis software,N/A,N/A,N/A,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S045,45,10.3389/fcvm.2020.00025,32195270,Deep Learning for Cardiac Image Segmentation: A Review,Chen C,2020,Frontiers Cardiovascular Medicine,review,cardiac,CT/MRI,N/A,Cardiac review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S046,46,10.1136/bmj.n71,33782057,PRISMA 2020 statement,Page MJ,2021,BMJ,guideline,N/A,N/A,N/A,Reporting guideline,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S047,47,10.1007/978-3-319-67558-9_28,,Generalised Dice Overlap as Deep Learning Loss,Sudre CH,2017,DLMIA,method,general,CT/MRI,CNN,Class-balanced Dice,0.89,,WMH,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S048,48,10.1007/978-3-319-67389-9_44,,Tversky Loss Function for Image Segmentation,Salehi SSM,2017,MLMI,method,fetal brain,MRI,CNN,Tversky index loss,0.857,,Fetal MRI,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S049,49,10.1007/978-3-030-32245-8_32,,Boundary Loss for Highly Unbalanced Segmentation,Kervadec H,2019,MICCAI,method,general,CT/MRI,CNN,Distance-based loss,0.912,3.1,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S050,50,10.1016/j.compmedimag.2021.102026,34922152,Unified Focal Loss: Generalising Dice and Cross Entropy,Yeung M,2022,CMIG,method,general,CT/MRI,CNN,Combined loss function,0.91,,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S051,51,10.1145/3394486.3403094,,Self-training with Noisy Student,Xie Q,2020,KDD,method,general,natural,CNN,Semi-supervised learning,N/A,N/A,ImageNet,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S052,52,10.1145/3512527.3531423,,Medical Image Segmentation with Limited Labels: Survey,Wang R,2022,ICMR,review,general,multi,N/A,Limited label survey,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S053,53,10.1016/j.neucom.2019.01.103,,Aleatoric uncertainty estimation with TTA,Wang G,2019,Neurocomputing,method,fetal brain,MRI,CNN,Uncertainty estimation,0.89,,iFIND,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S054,54,10.1111/bju.15024,32012405,3D virtual models in preoperative planning for nephrectomy,Rocco B,2020,BJU International,application,kidney,CT,N/A,Surgical planning,N/A,N/A,Clinical,no,"IC1,IC2,IC3,IC4,IC5,IC6"
S055,55,10.3390/jpm13101435,37888047,International Survey on 3D Imaging in Urological Surgery,Sighinolfi MC,2023,J Personalized Medicine,survey,kidney,CT,N/A,Adoption survey,N/A,N/A,Survey data,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S056,56,10.1111/bju.14070,29119680,Three-dimensional virtual imaging of renal tumours,Porpiglia F,2018,BJU International,application,kidney,CT,N/A,3D visualization,N/A,N/A,Clinical,no,"IC1,IC2,IC3,IC4,IC5,IC6"
S057,57,10.1007/s11701-016-0617-0,27351896,Surgeon survey on 3D virtual planning,Simpfendörfer T,2016,J Robotic Surgery,survey,kidney,CT,N/A,Adoption barriers,N/A,N/A,Survey data,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S058,58,10.4103/0971-6203.58777,20165562,Automated medical image segmentation techniques,Sharma N,2010,J Medical Physics,review,general,multi,Classical,Classical methods review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S059,59,10.1109/TMI.2020.2995567,32746113,Domain Adaptation for Medical Image Segmentation: Survey,Guan H,2021,IEEE TMI,review,general,multi,N/A,Domain adaptation,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S060,60,10.1109/JBHI.2020.2983343,32275621,Self-Supervised Learning for Medical Image Analysis: Survey,Chowdhury A,2021,IEEE JBHI,review,general,multi,N/A,Self-supervised survey,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S061,61,10.48550/arXiv.2012.06786,,SETR: Semantic Segmentation from Sequence-to-Sequence,Zheng S,2021,arXiv,method,general,natural,Transformer,Pure transformer,0.506,,ADE20K,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S062,62,10.48550/arXiv.2105.05537,,SegFormer: Simple and Efficient Transformer,Xie E,2021,arXiv,method,general,natural,Transformer,MLP decoder,0.514,,ADE20K,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S063,63,10.48550/arXiv.2103.14030,,ViT: An Image is Worth 16x16 Words,Dosovitskiy A,2021,ICLR,method,general,natural,Transformer,Vision transformer,0.882,,ImageNet,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S064,64,10.1007/978-3-319-59050-9_28,,HighRes3DNet: Brain Parcellation as Pretext Task,Li W,2017,IPMI,method,brain,MRI,CNN,Compact 3D CNN,0.906,,OASIS,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S065,65,10.1016/j.isprsjprs.2020.01.013,,ResUNet-a: Semantic Segmentation Framework,Diakogiannis FI,2020,ISPRS,method,general,satellite,CNN,Residual U-Net,0.967,,Agriculture,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S066,66,10.1109/ISM46123.2019.00049,,ResUNet++: Advanced Architecture for Medical Segmentation,Jha D,2019,ISM,method,polyp,colonoscopy,CNN,ASPP + attention,0.871,,Kvasir-SEG,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S067,67,10.1109/ACCESS.2021.3053408,,A Review: Deep Learning for Biomedical Image Segmentation,Liu X,2021,IEEE Access,review,general,multi,N/A,Biomedical review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S068,68,10.1109/TBME.2020.3012398,32746052,Automatic Liver Segmentation in CT: Survey,Moghbel M,2020,IEEE TBME,review,liver,CT,N/A,Liver-specific review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S069,69,10.1007/s00330-020-06966-6,32474632,Artificial intelligence in oncological imaging,Bi WL,2019,European Radiology,review,oncology,multi,N/A,AI oncology review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S070,70,10.1016/j.ejrad.2020.109008,32428740,Deep learning in radiology: state and future,Chartrand G,2017,European J Radiology,review,general,multi,N/A,Radiology DL review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S071,71,10.1007/978-3-030-59710-8_1,,Automatic Pancreas Segmentation: Coarse-to-Fine,Roth HR,2015,MICCAI,method,pancreas,CT,CNN,Two-stage approach,0.842,,NIH Pancreas,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S072,72,10.1016/j.media.2018.02.004,29458155,R2U-Net: Recurrent Residual U-Net,Alom MZ,2018,Medical Image Analysis,method,multi-organ,CT/MRI,CNN,Recurrent + residual,0.823,,DRIVE,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S073,73,10.1109/TMI.2022.3175461,35604965,Self-Supervised Pre-Training of Swin Transformers,Tang Y,2022,IEEE TMI,method,multi-organ,CT,Transformer,Pre-training strategy,0.883,4.16,BTCV,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S074,74,10.48550/arXiv.2303.08683,,CLIP: Visual and Vision-Language Representation Learning,Radford A,2021,ICML,method,general,natural,Foundation,Vision-language,N/A,N/A,LAION-400M,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S075,75,10.1016/j.media.2019.06.014,31323600,Automatic spinal cord and MS lesion segmentation,Gros C,2019,Medical Image Analysis,method,spinal cord,MRI,CNN,MS lesion detection,0.897,,SCT-MS,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S076,76,10.1109/CVPR42600.2020.00987,,Squeeze-and-Attention Networks for Semantic Segmentation,Zhong Z,2020,CVPR,method,general,natural,CNN,Efficient attention,0.795,,Cityscapes,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S077,77,10.48550/arXiv.2106.03004,,Exploring limits of out-of-distribution detection,Fort S,2021,NeurIPS,method,general,multi,N/A,OOD detection,N/A,N/A,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S078,78,10.48550/arXiv.2111.14791,,PVT v2: Improved Baselines with Pyramid Vision Transformer,Wang W,2022,CVMJ,method,general,natural,Transformer,Pyramid transformer,0.503,,ADE20K,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S079,79,10.1016/j.media.2020.101854,33075616,MSNet: Automatic polyp segmentation via multi-scale,Wei J,2021,Medical Image Analysis,method,polyp,colonoscopy,CNN,Multi-scale subtraction,0.907,,Kvasir-SEG,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S080,80,10.1109/TMI.2021.3056950,33556003,Semi-supervised Medical Segmentation: Dual-task Consistency,Luo X,2021,IEEE TMI,method,multi-organ,CT,CNN,Dual-task learning,0.893,6.32,LA/Pancreas,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S081,81,10.1016/j.media.2021.102155,34280677,Self-Supervised Mean Teacher for Semi-supervised 3D Segmentation,Chen C,2021,Medical Image Analysis,method,cardiac,MRI,CNN,Mean teacher,0.912,1.72,LA,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S082,82,10.48550/arXiv.2112.01527,,Multi-task Learning for Medical Image Segmentation,Vandenhende S,2022,IEEE TPAMI,review,general,multi,N/A,Multi-task survey,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S083,83,10.48550/arXiv.2209.08575,,SegNeXt: Convolutional Attention for Semantic Segmentation,Guo MH,2022,NeurIPS,method,general,natural,CNN,Convolutional attention,0.504,,ADE20K,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S084,84,10.1109/CVPR52729.2023.00979,,SEEM: Segment Everything Everywhere All at Once,Zou X,2023,CVPR,method,universal,multi,Foundation,Universal prompting,N/A,N/A,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S085,85,10.1016/j.media.2023.102848,37320928,SAM for Medical Image Analysis: Experimental Study,He S,2023,Medical Image Analysis,evaluation,multi-organ,multi,Foundation,SAM evaluation,0.76,,Multi-dataset,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S086,86,10.48550/arXiv.2304.14785,,Medical SAM Adapter: Adapting SAM for Medical Segmentation,Wu J,2023,arXiv,method,multi-organ,multi,Foundation,SAM adaptation,0.87,,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S087,87,10.1186/s40537-019-0197-0,,Data augmentation in image classification using DL,Shorten C,2019,Journal of Big Data,review,general,multi,N/A,Augmentation survey,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S088,88,10.1109/ICCV.2019.00612,,CutMix: Regularization Strategy,Yun S,2019,ICCV,method,general,natural,CNN,Cut and paste augmentation,0.789,,ImageNet,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S089,89,10.48550/arXiv.1710.09412,,mixup: Beyond Empirical Risk Minimization,Zhang H,2018,ICLR,method,general,natural,CNN,Interpolation augmentation,N/A,N/A,ImageNet,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S090,90,10.1109/CVPR.2019.00874,,Data augmentation using learned transformations,Zhao A,2019,CVPR,method,brain,MRI,CNN,Learned augmentation,0.877,,OASIS,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S091,91,10.1109/TMI.2021.3070752,33784617,Shape-aware Meta-learning for Domain Generalization,Liu Q,2021,IEEE TMI,method,prostate,MRI,CNN,Domain generalization,0.884,5.45,Multi-site,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S092,92,10.1016/j.media.2020.101766,32634752,Uncertainty-guided self-training for semi-supervised,Yu L,2019,Medical Image Analysis,method,cardiac,MRI,CNN,Uncertainty selection,0.915,1.48,LA,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S093,93,10.48550/arXiv.2006.10029,,Contrastive Learning of Global and Local Features,Chaitanya K,2020,NeurIPS,method,multi-organ,MRI,CNN,Contrastive learning,0.887,5.1,ACDC,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S094,94,10.1016/j.media.2021.102287,34875487,Deep learning for whole slide image analysis,Srinidhi CL,2021,Medical Image Analysis,review,pathology,histology,N/A,WSI overview,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S095,95,10.1109/ISBI48211.2021.9434141,,Label-Free Segmentation of COVID-19 Lesions,Yan Q,2021,ISBI,method,lung,CT,CNN,Anomaly detection,0.712,,COVID-CT,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S096,96,10.1016/j.chaos.2020.110495,,COVID-19 detection from chest X-ray,Shoeibi A,2020,Chaos Solitons Fractals,review,lung,X-ray,N/A,COVID detection review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S097,97,10.48550/arXiv.2111.02358,,HiFormer: Hierarchical Multi-scale Transformers,Heidari M,2022,WACV,method,multi-organ,CT/MRI,Transformer,Hierarchical design,0.881,6.94,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S098,98,10.1016/j.media.2021.102271,34700134,FAT-Net: Feature Adaptive Transformers for Skin Lesion,Wu H,2022,Medical Image Analysis,method,skin,dermoscopy,Transformer,Adaptive features,0.926,,ISIC18,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S099,99,10.48550/arXiv.2012.12619,,DynUNet: Dynamic U-Net for Adaptive Resolution,Myronenko A,2020,arXiv,method,multi-organ,CT/MRI,CNN,Adaptive resolution,0.89,,MSD,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S100,100,10.1016/j.artmed.2023.102534,,Polyp-PVT: Polyp Segmentation with PVT,Dong B,2023,Artificial Intelligence Medicine,method,polyp,colonoscopy,Transformer,PVT for polyps,0.917,,Kvasir-SEG,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S101,101,10.1109/TMI.2022.3175461,35604965,Self-Supervised Swin Pre-Training,Tang Y,2022,IEEE TMI,method,multi-organ,CT,Transformer,Pre-training,0.883,4.16,BTCV,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S102,102,10.1007/978-3-031-43901-8_39,,MedNeXt Scaling,Roy S,2023,MICCAI,method,multi-organ,CT/MRI,CNN,ConvNeXt medical,0.895,3.87,MSD,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S103,103,10.48550/arXiv.2304.06716,,STU-Net Pre-training,Huang Z,2023,arXiv,method,multi-organ,CT,CNN,Scalable models,0.902,3.24,TotalSeg-14K,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S104,,10.1016/j.compbiomed.2023.107144,,nnFormer on Multi-Organ,Zhou HY,2023,Computers Biology Medicine,method,multi-organ,CT,Transformer,Enhanced nnFormer,0.874,7.21,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S105,,10.1016/j.media.2023.102947,,D-LKA Net: Large Kernel Attention,Azad R,2023,Medical Image Analysis,method,multi-organ,CT/MRI,CNN,Large kernel,0.883,5.96,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S106,,10.1007/978-3-031-43898-1_52,,ScaleFormer: Multi-Scale Transformer,Huang H,2023,MICCAI,method,multi-organ,CT,Transformer,Multi-scale,0.879,6.45,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S107,,10.48550/arXiv.2306.05720,,UniverSeg: Universal Segmentation,Butoi VI,2023,arXiv,method,universal,multi,Foundation,Cross-task,0.81,12.3,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S108,,10.1016/j.media.2023.102969,,PHTrans: Parallel Hybrid Transformer,Xu W,2023,Medical Image Analysis,method,multi-organ,CT,Hybrid,Parallel paths,0.876,6.78,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S109,,10.48550/arXiv.2311.04903,,ScribblePrompt: Interactive Medical Segmentation,Wong A,2024,arXiv,method,universal,multi,Foundation,Scribble prompts,0.84,8.92,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
