id,database,search_date,title,authors,year,journal_conference,doi,abstract_snippet
R0023,PubMed,2026-01-20,Attention GhostUNet++: Enhanced Segmentation of Adipose Tissue and Liver in CT Images.,Hayat M; Aramvith S; Bhattacharjee S; Ahmad N,2025,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC58623.2025.11254588,"Accurate segmentation of abdominal adipose tissue, including subcutaneous (SAT) and visceral adipose tissue (VAT), along with liver segmentation, is essential for understanding body composition and associated health risks such as type 2 diabetes and cardiovascular disease. This study proposes Attent..."
R0024,PubMed,2026-01-20,Fast Multi-Organ Fine Segmentation in CT Images with Hierarchical Sparse Sampling and Residual Transformer.,Guo X; Yerebakan HZ; Shinagawa Y; Iyer K; Valadez GH,2025,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC58623.2025.11253344,"Multi-Organ segmentation of 3D medical images is fundamental with meaningful applications in various clinical automation pipelines. Although deep learning has achieved superior performance, the time and memory consumption of segmenting the entire 3D volume voxel by voxel using neural networks can be..."
R0025,PubMed,2026-01-20,Prediction of recurrence after resection in hepatocellular carcinoma via whole liver deep learning on preoperative contrast-enhanced CT.,Huang C; Tian Y; Zhang Q; Gao Y; Hu P et al.,2025,Scientific reports,10.1038/s41598-025-26933-x,This study aimed to develop a fully automated survival prediction (FASP) system that analyzes whole-liver regions from preoperative contrast-enhanced CT scans for predicting recurrence-free survival (RFS) after curative resection in Hepatocellular carcinoma (HCC). FASP comprised three consecutive co...
R0026,PubMed,2026-01-20,Automated Segmentation of Liver and Liver Tumors with SwinUNETR and UNET Neural Networks on <sup>18</sup>F-FDG PET/CT.,Demir B; Yurtçu HK; Ağcıoğlu Atalay M; Ertek F,2025,Molecular imaging and radionuclide therapy,10.4274/mirt.galenos.2025.58751,"To develop and evaluate automated segmentation models for the liver and hepatic tumors on <sup>18</sup>F-fluorodeoxyglucose positron emission tomography/computed tomography (<sup>18</sup>F-FDG PET/CT) using SwinUNETR and residual UNET architectures, and to assess their accuracy in complex clinical c..."
R0027,PubMed,2026-01-20,PL-Seg: Partially labeled abdominal organ segmentation via classwise orthogonal contrastive learning and progressive self-distillation.,Li H; Luo X; Fu J; Gu R; Liao W et al.,2026,Medical image analysis,10.1016/j.media.2025.103885,"Accurate segmentation of abdominal organs in Computed Tomography (CT) scans is crucial for effective lesion diagnosis, radiotherapy planning, and patient follow-up. Although deep learning has shown great performance with fully supervised learning, it requires voxel-level dense annotations that are t..."
R0028,PubMed,2026-01-20,Frequency-aware domain randomization for single-source domain generalization in medical image segmentation.,Wu J; Chen Z; Chen Y; Cui Z; Du S et al.,2025,Medical physics,10.1002/mp.70118,"Medical image segmentation is vital for clinical diagnosis, yet deep learning models face domain shift challenges when test data distributions differ from training data. Single-source domain generalization (DG) has emerged as a solution to these limitations of deep learning models by training models..."
R0029,PubMed,2026-01-20,Automated quality assurance of imaging dose and protocol adherence in computed tomography radiotherapy planning using TotalSegmentator-based segmentation.,Lackner NA; Karius A; Brandt T; Ott OJ; Putz F et al.,2025,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],10.1007/s00066-025-02494-w,"Computed tomography (CT) scans are vital for radiotherapy planning, providing essential data for dose calculations. This study retrospectively evaluated imaging doses, scan lengths, and protocol adherence to support imaging optimization and reduce patient radiation exposure. CT data from patients un..."
R0030,PubMed,2026-01-20,Are Image-Based Deep Learning Algorithms of Kidney Volume in Polycystic Kidney Disease Ready for Clinical Deployment? A Systematic Review and Meta-Analysis.,Colliander E; Tupper S; Kielberg ML; Liu ML; Almar-Munoz E et al.,2025,Journal of clinical medicine,10.3390/jcm14228255,"<b>Objectives:</b> In patients with autosomal dominant polycystic kidney disease (ADPKD), total kidney volume (TKV) is the gold standard biomarker for assessing the risk of progression and the need for drug therapy. However, it is a time-consuming process. In this systematic review and meta-analysis..."
R0031,PubMed,2026-01-20,Prompt-Driven Multimodal Segmentation with Dynamic Fusion for Adaptive and Robust Medical Imaging with Applications to Cancer Diagnosis.,Alsaedi SA; Balaha HM; Farsi M; Alwateer M; Aboelnaga MM et al.,2025,Cancers,10.3390/cancers17223691,"Medical image segmentation is a crucial task for diagnosis, treatment planning, and monitoring of cancer; however, it remains one of the toughest nuts to crack for Artificial Intelligence (AI)-based clinical applications. Deep-learning models have shown near-perfect results for narrow tasks such as ..."
R0032,PubMed,2026-01-20,"Physics-aware imaging AI for quantitative MASLD biomarker mapping: a systematic review of deep learning and radiomics across ultrasound, CT, and MRI.",Maghsoudi H; Khonche A; Gereami R; Gharebakhshi F,2025,Abdominal radiology (New York),10.1007/s00261-025-05317-9,"This systematic review critically appraises the current landscape of physics-aware artificial intelligence (AI) in medical imaging for quantitative biomarker mapping in Metabolic dysfunction-associated steatotic liver disease (MASLD) and its progressive form, MASH. It focuses on deep learning and ra..."
R0033,PubMed,2026-01-20,Deep learning for automatic segmentation of hepatocellular carcinoma in contrast enhanced CT scans.,Manghi I; Pecchi A; Esposito G; Macheda M; Zanni E et al.,2025,Scientific reports,10.1038/s41598-025-26019-8,"Liver cancer represents a significant cause of cancer-related mortality, with hepatocellular carcinoma (HCC) being the most prevalent forms. Computed tomography (CT) serves as the principal imaging modality for the diagnosis of liver tumors, particularly HCC. The precise identification of tumor pres..."
R0034,PubMed,2026-01-20,SVNC-Net: An optimized U-Net variant with 2D convolutions for lightweight 3D spleen segmentation.,Genc MZ; Dalveren Y; Kara A; Derawi M; Kubicek J et al.,2025,PloS one,10.1371/journal.pone.0332482,"Accurate measurement of spleen volume is essential for the diagnosis of splenomegaly. While Computed Tomography (CT) is among the most reliable imaging modalities for this task, manual segmentation of the spleen is labor-intensive and impractical for routine clinical workflows. Automatic segmentatio..."
R0035,PubMed,2026-01-20,Random Convolutions for Domain Generalization of Deep Learning-based Medical Image Segmentation Models.,Scholz D; Erdur AC; Peeken JC; Varma A; Graf R et al.,2026,Radiology. Artificial intelligence,10.1148/ryai.240502,"Purpose To evaluate random convolutions as an augmentation strategy for improving domain generalization of deep learning-based segmentation models in medical imaging. Materials and Methods In this retrospective study, a random convolution-based augmentation strategy was applied to abdominal organ se..."
R0036,PubMed,2026-01-20,Deep learning model for assessing survival benefits in hepatocellular carcinoma patients undergoing intra-arterial therapies based on proliferative subtype.,Cao F; An C; Li S; Hu X; Li D et al.,2025,NPJ digital medicine,10.1038/s41746-025-02100-4,"The proliferative hepatocellular carcinoma (HCC) subtype is associated with aggressive disease and poor prognosis, yet it remains challenging to identify non-invasively. This retrospective multicenter study developed a multitask deep learning system for detecting proliferative HCC and predicting sur..."
R0037,PubMed,2026-01-20,Total-body [<sup>18</sup>F]FDG-PET/CT imaging of healthy volunteers with minimal effective dose.,Ferrara D; Gutschmayer S; Chalampalakis Z; Geist BK; Özer Ö et al.,2025,European journal of nuclear medicine and molecular imaging,10.1007/s00259-025-07644-x,"High-sensitivity, total-body (TB) positron emission tomography (PET) and computed tomography (CT) imaging systems enable substantial reduction of injected radioactivity without compromising image quality. Synthetic CT-like attenuation maps can be generated from PET data via deep learning (DL) to fur..."
R0038,PubMed,2026-01-20,Abdominal multi-organ segmentation on 3D negative-contrast CT cholangiopancreatography: a comparative study of deep learning methods.,Li B; Zhang J; Fu H; Zhang L; Chen FM et al.,2025,Abdominal radiology (New York),10.1007/s00261-025-05273-4,This study aims to automate segmentation of the biliary and pancreatic systems on 3D negative-contrast CT cholangiopancreatography (3D-nCTCP) to improve preoperative planning and diagnosis. We retrospectively collected dual-phase enhanced CT data from 111 patients with malignant low biliary obstruct...
R0039,PubMed,2026-01-20,"AI in radiology and interventions: a structured narrative review of workflow automation, accuracy, and efficiency gains of today and what's coming.",Friebe M,2025,International journal of computer assisted radiology and surgery,10.1007/s11548-025-03547-2,"Artificial intelligence (AI) is rapidly transforming diagnostic and interventional radiology, supported by accelerating regulatory approvals and clinical adoption. Despite progress, integration varies across modalities and procedures. This study is a structured narrative review of four representativ..."
R0040,PubMed,2026-01-20,Deep learning for automatic detection of hepatocellular carcinoma in dynamic contrast-enhanced MRI.,Monnin K; Jeltsch P; Fernandes-Mendes L; Cazzagon V; Gulizia M et al.,2025,Abdominal radiology (New York),10.1007/s00261-025-05249-4,"Develop a deep learning model for automatic hepatocellular carcinoma (HCC) detection in T1 weighted imaging (WI) Dynamic Contrast-Enhanced (DCE) liver MRI using extracellular contrast agent, and to analyze its performance at both patient and lesion levels. This retrospective study included two cohor..."
R0041,PubMed,2026-01-20,Feasibility and initial clinical application of a digital health-enabled 3D VR education model to improve health literacy in thyroid surgery.,Ahn JH; Yoon SH; Kim JM; Kim S; Jeong YH et al.,2025,Digital health,10.1177/20552076251394962,"Effective physician-patient communication is essential for improving health literacy and achieving optimal surgical outcomes. However, patients often struggle to interpret conventional two-dimensional (2D) imaging during preoperative counseling for thyroid surgery. This study assessed the feasibilit..."
R0042,PubMed,2026-01-20,Multi-group deformable convolution network for 3D medical image segmentation.,Li Y; Hu M; Wang J; Wang T; Yu DS et al.,2025,Medical physics,10.1002/mp.70135,"Medical image segmentation plays an important role in radiation oncology, including delineating anatomical structures and detecting abnormalities. Precise segmentation of medical images is essential for accurately contouring organs at risk (OAR) and target volumes to ensure effective and safe radiat..."
R0043,PubMed,2026-01-20,U-GRKAN: An Efficient and Interpretable Architecture for Medical Image Segmentation.,Wu X; Ji S; Tao J; Gu Y,2025,Journal of imaging informatics in medicine,10.1007/s10278-025-01733-x,"Segmentation accuracy and consistency directly affect the safety of treatment and the reliability of decision-making in tumor delineation, organ-at-risk protection, preoperative planning, and follow-up evaluation. The U-shaped convolutional network still has limitations in cross-regional modeling an..."
R0044,PubMed,2026-01-20,Children's drug research and development incentives and market pricing optimization based on medical imaging.,Mu X; Wu L,2025,Scientific reports,10.1038/s41598-025-22867-6,"Due to differences in physiological characteristics and drug metabolism between children and adults, drug efficacy evaluation and safety monitoring in pediatric drug development present significant challenges. This paper proposes a data-driven incentive mechanism for pediatric drug development based..."
R0045,PubMed,2026-01-20,Deep-learning-based automatic liver segmentation using computed tomography images in dogs.,Lee S; Shimbo G; Yokoyama N; Nakamura K; Togo R et al.,2025,Frontiers in veterinary science,10.3389/fvets.2025.1681820,"Deep learning-based automated segmentation has significantly improved the efficiency and accuracy of human medicine applications. However, veterinary applications, particularly canine liver segmentation, remain limited. This study aimed to develop and validate a deep learning model based on a 3D U-N..."
R0046,PubMed,2026-01-20,"Automatically Measuring Kidney, Liver, and Cyst Volumes in Autosomal Dominant Polycystic Kidney Disease.",Xiong Q; He X; Scalco E; Pasini S; Zhu C et al.,2025,Journal of the American Society of Nephrology : JASN,10.1681/ASN.0000000904,"Kidney, liver and cyst volumes are important for diagnosis, classification and management of autosomal dominant polycystic kidney disease (ADPKD) but challenging to measure accurately and reproducibly. Here, we develop a web-based deep learning platform to automatically and robustly measure kidneys,..."
R0047,PubMed,2026-01-20,Automated Scan Region Classification and Patient-specific Dose Modeling for Enhanced Dose Management in Computed Tomography.,Garajová L; Theis M; Nowak S; Kütting D; Block W et al.,2025,Investigative radiology,10.1097/RLI.0000000000001247,"Effective dose management in computed tomography is impeded by 2 key operational challenges: error-prone manual protocol mapping and the high volume of nonactionable alerts from fixed diagnostic reference levels (DRLs). This ""alert fatigue"" creates a risk of overlooking clinically significant dose d..."
R0048,PubMed,2026-01-20,Establishment of normative spleen volume in a Japanese cohort using automated CT segmentation: diagnostic implications for liver fibrosis.,Tamura A; Fujita K; Ieko Y; Suzuki Y; Maki I et al.,2025,BMC gastroenterology,10.1186/s12876-025-04383-z,"In this study, we aimed to establish specific reference values for spleen volume in Japan using automated deep learning-based segmentation as well as evaluate the diagnostic utility of volume-defined splenomegaly in staging liver fibrosis. We analyzed 4,732 healthy Japanese adults (Data Set 1) who u..."
R0049,PubMed,2026-01-20,Deep learning with attention modules and residual transformations improves hepatocellular carcinoma (HCC) differentiation using multiphase CT.,Wang Y; Jian W; Yuan Z; Guan F; Carlson D,2025,Precision radiation oncology,10.1002/pro6.70003,We hypothesize generative adversarial networks (GAN) combined with self-attention (SA) and aggregated residual transformations (ResNeXt) perform better than conventional deep learning models in differentiating hepatocellular carcinoma (HCC). Attention modules facilitate concentrating on salient feat...
R0050,PubMed,2026-01-20,Development and validation of a predictive model for adherent perirenal fat based on CT radiomics and deep learning.,Ding X; Liu H; Li X; Jin D; Lu M et al.,2025,World journal of urology,10.1007/s00345-025-06049-7,"The study aimed to develop and validate a predictive model for preoperative APF using computed tomography (CT) radiomics combined with deep learning, and validating the performance of the model in an independent cohort. The APF was defined as the need for a renal subcapsular dissection to separate t..."
R0051,PubMed,2026-01-20,nnDoseNet: Intuitive and flexible deep learning framework to train and evaluate radiotherapy dose prediction models.,Chang HH; Harms J; Cardan RA; Fiveash JB; Popple RA et al.,2025,Computers in biology and medicine,10.1016/j.compbiomed.2025.111237,"Radiotherapy (RT) dose optimization is often labor-intensive, requiring repeated manual adjustments to achieve clinically acceptable plans. In this work, we introduce nnDoseNet, a deep learning framework designed to automate and streamline RT dose prediction. Building on the nnU-Net segmentation eng..."
R0052,PubMed,2026-01-20,Liver Segment and Lesion Segmentation on CT and MRI: An Open-Source Contribution to TotalSegmentator.,Nicoli AP; Bach M; Wasserthal J; Indrakanti AK; Segeroth M et al.,2025,Journal of imaging informatics in medicine,10.1007/s10278-025-01716-y,This study aims to develop a tool based on deep learning algorithms for automatic liver segment and liver lesion segmentation on Computed Tomography (CT) and Magnetic Resonance Imaging (MRI). We demonstrate its clinical utility using a qualitative example of hepatocellular carcinoma (HCC) response t...
R0053,PubMed,2026-01-20,Evaluating the impact of different deface algorithms on deep learning segmentation software performance.,Ammar A; Zhu L; Bryan S; Yu NY; Vargas C et al.,2025,Frontiers in oncology,10.3389/fonc.2025.1603593,"Data sharing is essential for advancing research in radiation oncology, particularly for training artificial intelligence (AI) models in medical imaging. However, privacy concerns necessitate de-identification of medical images, including defacing operations to remove facial features. This study eva..."
R0054,PubMed,2026-01-20,A multi-scale network for thyroid segmentation and dose assessment in hyperthyroid patients with uncertainty quantification.,Wang C; Hu G; Ji F; Tang L; Xue J et al.,2025,Medical physics,10.1002/mp.70072,"Accurate absorbed dose assessment is crucial for personalized hyperthyroidism treatment, but challenges remain in calculating the thyroid dose of <sup>131</sup>I using the medical internal radiation dose (MIRD) schema. Further exploration is needed to improve image segmentation for personalized thyr..."
R0055,PubMed,2026-01-20,Development and evaluation of a novel organ-specific biomechanics-guided contrast-enhanced CT volume synthesis model<sup></sup>.,Du S; Shen M; Liu Y; Wei F; Lei Y,2025,Physics in medicine and biology,10.1088/1361-6560/ae13ce,"<i>Objective</i>.<b>C</b>ontrast-<b>E</b>nhanced<b>C</b>omputed<b>T</b>omography (CECT) is a critical medical imaging modality, yet acquiring and annotating such datasets remains time-consuming. Generative models show potential in augmenting datasets, but existing methods mainly focus on single-orga..."
R0056,PubMed,2026-01-20,Weak redundancy U-shaped network and heatmap-based object prompt method for real-time medical image processing.,Lu C; Fu Z; Guo Z; Fei J; Xie R,2025,Quantitative imaging in medicine and surgery,10.21037/qims-2025-567,"In recent years, artificial intelligence (AI) technology has experienced significant growth, leading to the development of advanced tools that assist radiologists in image interpretation and diagnostic decision-making. In the field of medical image processing, object detection and segmentation are c..."
R0057,PubMed,2026-01-20,VIBESegmentator: full body MRI segmentation for the NAKO and UK Biobank.,Graf R; Platzek P; Riedel EO; Ramschütz C; Starck S et al.,2025,European radiology,10.1007/s00330-025-12035-9,"To present a publicly available deep learning-based torso segmentation model that provides comprehensive voxel-wise coverage, including delineations that extend to the boundaries of anatomical compartments. We extracted preliminary segmentations from TotalSegmentator, spine, and body composition mod..."
R0058,PubMed,2026-01-20,Artificial intelligence-based method for renal function automatic assessment of each kidney using plain computed tomography (CT) scans.,Guo R; Xia W; Xu F; Qian Y; Han Q et al.,2025,Physical and engineering sciences in medicine,10.1007/s13246-025-01651-w,"Separate renal function assessment is important in clinical decision making. The single-photon emission computed tomography is commonly used for the assessment although radioactive, tedious and of high cost. This study aimed to automatically assess the separate renal function using plain CT images a..."
R0059,PubMed,2026-01-20,InfoOOD: information bottleneck optimization for post hoc medical image out-of-distribution detection.,Schott B; Klaneček Ž; Santoro-Fernandes V; Tie X; Salgado-Maldonado S et al.,2025,Physics in medicine and biology,10.1088/1361-6560/ae110e,"<i>Objective.</i>Deep learning models are prone to failure when inferring upon out-of-distribution (OOD) data, i.e. data whose features fundamentally differ from those in the training set. Existing OOD measures often lack sensitivity to the subtle image variations encountered within clinical setting..."
R0060,PubMed,2026-01-20,Automated detection and characterization of small cell lung cancer liver metastasis on computed tomography.,Ty S; Haque F; Desai P; Takahashi N; Chaudhary U et al.,2025,"Diagnostic and interventional radiology (Ankara, Turkey)",10.4274/dir.2025.253310,Small cell lung cancer (SCLC) is an aggressive disease with diverse phenotypes that reflect the heterogeneous expression of tumor-related genes. Recent studies have shown that neuroendocrine (NE) transcription factors may be used to classify SCLC tumors with distinct therapeutic responses. The liver...
R0061,PubMed,2026-01-20,A systematic review on automatic segmentation of renal tumors and cysts using various convolutional neural network architectures in radiological images.,Anusha C; Rao KN; Rao TL,2025,Computers in biology and medicine,10.1016/j.compbiomed.2025.111177,"Premature diagnosis of kidney cancer is crucial for saving lives and enabling better treatment. Medical experts utilize radiological images, such as CT, MRI, US, and histopathological analysis, to identify kidney tumors and cysts, providing valuable information on their size, shape, location, and me..."
