paper_id,title,authors,year,venue,architecture,organs_segmented,multi_organ,best_dice,datasets
10.1016_j.imu.2020.100357,MSS U-Net: 3D segmentation of kidneys and tumors from CT images with a multi-scale supervised U-Net,Zhao et al.,2020.0,Informatics in Medicine Unlocked,3D U-Net,['kidney'],False,0.969,['KiTS19']
10.1038_s41598-019-40584-9,Dual-energy CT for automatic organs-at-risk segmentation in brain-tumor patients using a multi-atlas and deep-learning approach,van der Heyden et al.,2019.0,Scientific Reports,3D U-Net,"['brainstem', 'eyes', 'eye lenses', 'optic nerves', 'parotid glands']",True,0.86,['Private DECT brain-tumor radiotherapy planning cohort (pseudo-monoenergetic CT derived from 80/140 kVp DECT)']
10.1038_s41598-020-63285-0,Abdominal multi-organ auto-segmentation using 3D-patch-based deep convolutional neural network,Kim et al.,2020.0,Scientific Reports,3D U-Net,"['liver', 'stomach', 'duodenum', 'right kidney', 'left kidney']",True,0.959,['Asan Medical Center internal radiotherapy CT simulation dataset (hepatocellular carcinoma patients; 4D CT end-expiratory phase)']
10.1038_s41598-022-07848-3,Automated pancreas segmentation and volumetry using deep neural network on computed tomography,Lim et al.,2022.0,Scientific Reports,3D U-Net,['pancreas'],False,0.842,"['Internal Gil Medical Center abdominal CT dataset', 'TCIA Pancreas-CT (NIH) dataset']"
10.1088_1361-6560_aaf11c,Fully automated organ segmentation in male pelvic CT images,Balagopal et al.,2018.0,Physics in Medicine and Biology,Hybrid 2D U-Net + 3D U-Net (ResNeXt-modified),"['prostate', 'bladder', 'rectum', 'left femoral head', 'right femoral head']",True,0.96,['UT Southwestern (UTSW) internal pelvic CT dataset']
10.1088_1361-6560_ab6f99,Interactive 3D U-net for the segmentation of the pancreas in computed tomography scans,Boers et al.,2020.0,Physics in Medicine & Biology,3D U-Net,['pancreas'],False,0.875,"['TCIA Pancreas-CT', 'BTCV Abdomen', 'Radboud UMC clinical CT cohort (late venous phase, 2015; subset used for validation)']"
10.1109_ACCESS.2020.3024277,Automatic Segmentation Using a Hybrid Dense Network Integrated With an 3D-Atrous Spatial Pyramid Pooling Module for Computed Tomography (CT) Imaging,Qayyum et al.,2020.0,IEEE Access,DenseNet encoder-decoder (hybrid) with ASPP,"['heart', 'aorta', 'trachea', 'esophagus']",True,0.9789,['SegTHOR 2019 (Thoracic Organs at Risk)']
10.1109_cvidliccea56201.2022.9823971,Research on Liver Segmentation of CT Image Based on Deep Active Contour Model,He et al.,2022.0,"2022 3rd International Conference on Computer Vision, Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)",V-Net + Active Contour (Chan–Vese level set),['liver'],False,0.9206,['AbdomenCT-1K']
10.1109_ICIEAM48468.2020.9111950,Hybrid 3D-ResNet Deep Learning Model for Automatic Segmentation of Thoracic Organs at Risk in CT Images,Qayyum et al.,2020.0,"International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)",ResNet-like 3D U-Net (encoder-decoder),"['esophagus', 'heart', 'trachea', 'aorta']",True,0.9853,['SegTHOR 2019']
10.1109_SPS.2019.8882073,Segmentation of Organs at Risk in Chest Cavity Using 3D Deep Neural Network,Manko et al.,2019.0,IEEE (conference proceedings; exact venue not specified in provided text),3D U-Net (U-Net-like) with ResNet-50 backbone,"['esophagus', 'heart', 'trachea', 'aorta']",True,0.933,['SegTHOR (expanded thoracic OAR CT dataset)']
10.1109_TMI.2018.2806309,Automatic Multi-organ Segmentation on Abdominal CT with Dense V-networks,Gibson et al.,2018.0,IEEE Transactions on Medical Imaging,DenseVNet (Dense V-network FCN),"['spleen', 'left kidney', 'gallbladder', 'esophagus', 'liver', 'stomach', 'pancreas', 'duodenum']",True,0.96,"['TCIA Pancreas-CT', 'BTCV (Beyond the Cranial Vault) segmentation challenge']"
10.1109_WRCSARA57040.2022.9903976,Two-Stage Multi-Organ Automatic Segmentation with Low GPU Memory Occupancy,Lv et al.,2022.0,Proceedings of the 4th WRC Symposium on Advanced Robotics and Automation (WRC SARA),3D U-Net-like CNN,"['liver', 'spleen', 'pancreas', 'right kidney', 'left kidney', 'stomach', 'gallbladder', 'esophagus', 'aorta', 'inferior vena cava', 'right adrenal gland', 'left adrenal gland', 'duodenum']",True,0.83,['FLARE22']
10.1186_s12880-025-02106-0,Deep learning-based volumetry of the future liver remnants and prediction of candidates for major hepatectomy,Tuya et al.,2026.0,BMC Medical Imaging,3D U-Net,['liver'],False,,['Internal retrospective hospital CT cohorts (Hospital-1 training; Hospital-2 external validation/comparative cohorts)']
10.1186_s13014-022-01985-9,Dosimetric impact of deep learning-based CT auto-segmentation on radiation therapy treatment planning for prostate cancer,Kawula et al.,2022.0,Radiation Oncology,3D U-Net (V-Net-based),"['prostate', 'bladder', 'rectum']",True,0.97,['LMU Munich in-house prostate cancer pelvic CT dataset']
10.1186_s41747-024-00507-4,Segmentation-based quantitative measurements in renal CT imaging using deep learning,Koukoutegos et al.,2024.0,European Radiology Experimental,3D U-Net,"['kidney (left)', 'kidney (right)']",False,0.95,"['Dataset 1 (kidney donors; CE and NC)', 'Test set 2 (institutional CE from PACS)', 'Test set 3 (PCCT virtual monoenergetic 60 keV and 190 keV)', 'Test set 4 (low-dose NCCT)']"
10.3389_fonc.2018.00215,Deep Learning Renal Segmentation for Fully Automated Radiation Dose Estimation in Unsealed Source Therapy,Jackson et al.,2018.0,Frontiers in Oncology,3D U-Net-like CNN,"['right kidney', 'left kidney']",False,0.91,"['Institutional SPECT/CT low-dose CT cohort for training (post-treatment 177Lu-octreotate and other clinical CTs)', '177Lu-PSMA-617 Phase II trial SPECT/CT cohort for testing (ANZCTR12615000912583)']"
10.48550_arXiv.2309.09730,Scribble-based 3D Multiple Abdominal Organ Segmentation via Triple-branch Multi-dilated Network with Pixel- and Class-wise Consistency,Meng Han et al.,2023.0,arXiv,3D U-Net,"['liver', 'spleen', 'left kidney', 'right kidney', 'stomach', 'gallbladder', 'pancreas']",True,0.8574,['WORD']
10.48550_arXiv.2406.13674,Rethinking Abdominal Organ Segmentation (RAOS) in the clinical scenario: A robustness evaluation benchmark with challenging cases,Luo et al.,2024.0,arXiv,"Benchmark study (multiple architectures: nnU-Net, 3D UX-Net, nnFormer, Swin UNETR, UNETR, TransBTS, REPUXNET)","['liver', 'spleen', 'left kidney', 'right kidney', 'stomach', 'gallbladder', 'esophagus', 'pancreas', 'duodenum', 'colon', 'intestine', 'left adrenal', 'right adrenal', 'rectum', 'bladder', 'left head of femur', 'right head of femur', 'prostate', 'seminal vesicles']",True,0.9665,"['RAOS', 'BTCV', 'AMOS', 'AbdomenCT-1K']"
arXiv_1704.06382,Hierarchical 3D fully convolutional networks for multi-organ segmentation,Roth et al.,2017.0,arXiv,3D U-Net (3D FCN),"['artery', 'portal vein', 'liver', 'spleen', 'stomach', 'gallbladder', 'pancreas']",True,0.954,"['In-house clinical contrast-enhanced abdominal CT dataset (portal venous phase) for training/validation (gastric surgery planning)', 'External unseen abdominal CT dataset from different hospital (gastric cancer patients) with liver/spleen/pancreas labels']"
arXiv_1809.04430,Deep learning to achieve clinically applicable segmentation of head and neck anatomy for radiotherapy,Nikolov et al.,2021.0,arXiv (preprint),3D U-Net,"['Brain', 'Brainstem', 'Cochlea-Lt', 'Cochlea-Rt', 'Lacrimal-Lt', 'Lacrimal-Rt', 'Lens-Lt', 'Lens-Rt', 'Lung-Lt', 'Lung-Rt', 'Mandible', 'Optic-Nerve-Lt', 'Optic-Nerve-Rt', 'Orbit-Lt', 'Orbit-Rt', 'Parotid-Lt', 'Parotid-Rt', 'Spinal-Canal', 'Spinal-Cord', 'Submandibular-Lt', 'Submandibular-Rt']",True,0.99,"['UCLH (internal clinical planning CT dataset)', 'TCIA (TCGA-HNSC and Head-Neck Cetuximab subsets; re-labeled by authors)', 'PDDCA (MICCAI 2015 Head & Neck OAR challenge dataset)']"
arXiv_1908.00360,A Method of Rapid Quantification of Patient-Specific Organ Dose for CT Using Coupled Deep-Learning based Multi-Organ Segmentation and GPU-accelerated Monte Carlo Dose Computing,Peng et al.,2019.0,arXiv (preprint),3D U-Net,"['right lung', 'left lung', 'heart', 'spinal cord', 'esophagus', 'spleen', 'liver', 'left kidney', 'stomach', 'gall bladder', 'pancreas', 'duodenum']",True,0.97,"['Lung CT Segmentation Challenge 2017 (LCTSC)', 'Pancreas-CT (PCT)']"
http___arxiv.org_abs_1707.08037v1,Automatic Liver Segmentation Using an Adversarial Image-to-Image Network,Yang et al.,2017.0,arXiv (preprint),Encoder-decoder CNN (DI2IN) + adversarial discriminator (GAN-style),['liver'],False,0.95,"['Private annotated CT dataset (1000+ volumes) for training', 'Private independent test set (50 volumes)', 'MICCAI-SLiver07 (mentioned as public dataset; not used for main reported results)']"
http___arxiv.org_abs_1710.05379v1,Towards Automatic Abdominal Multi-Organ Segmentation in Dual Energy CT Using Cascaded 3D Fully Convolutional Network,Chen et al.,2017.0,arXiv (submitted to IEEE; preprint arXiv:1710.05379v1),Cascaded 3D U-Net (3D FCN),"['liver', 'spleen', 'right kidney', 'left kidney']",True,0.933,['Clinical torso DECT dataset (University Hospital Erlangen; Siemens SOMATOM Force dual-source CT)']
http___arxiv.org_abs_1801.05912v1,On the influence of Dice loss function in multi-class organ segmentation of abdominal CT using 3D fully convolutional networks,Shen et al.,2018.0,arXiv (preprint),3D U-Net,"['artery', 'portal vein', 'liver', 'spleen', 'stomach', 'gallbladder', 'pancreas']",True,0.889,['Private clinical abdominal CT dataset (portal venous phase; pre-operative gastric surgery planning)']
http___arxiv.org_abs_1809.00960v2,Organ at Risk Segmentation in Head and Neck CT Images Using a Two-Stage Segmentation Framework Based on 3D U-Net,Wang et al.,2017.0,IEEE Access (as indicated by template/formatting; exact bibliographic details not fully shown in provided text),3D U-Net (two-stage),"['Mandible', 'Parotid left', 'Parotid right', 'Brainstem', 'Submandibular left', 'Submandibular right', 'Optic nerve left', 'Optic nerve right', 'Chiasm']",True,0.93,['PDDCA / MICCAI 2015 Head and Neck Auto-Segmentation Challenge dataset (v1.4.1)']
http___arxiv.org_abs_1809.02268v1,Computation of Total Kidney Volume from CT images in Autosomal Dominant Polycystic Kidney Disease using Multi-Task 3D Convolutional Neural Networks,Keshwani et al.,2018.0,arXiv (preprint),3D U-Net / 3D FCN (multi-task),"['kidneys (left and right; ADPKD kidneys)', 'liver (auxiliary task)']",True,0.949,"['ADPK dataset (203 abdominal CTs with kidney masks; from Muto et al. 2017 study)', 'Liver dataset (176 abdominal CTs with liver masks; contrast and non-contrast; many with tumors)']"
http___arxiv.org_abs_1811.11226v1,"CT organ segmentation using GPU data augmentation, unsupervised labels and IOU loss",Rister et al.,2018.0,arXiv (submitted to IEEE),3D FCN (GoogLeNet/Inception-style),"['lung', 'liver', 'bone (skeleton)', 'kidney', 'bladder']",True,0.922,"[""LiTS (Liver Tumor Segmentation Challenge) derived multi-organ dataset (authors' annotations + generated labels)"", 'LiTS challenge test set (external evaluation for liver)']"
http___arxiv.org_abs_1909.06684v1,3D Kidneys and Kidney Tumor Semantic Segmentation using Boundary-Aware Networks,Myronenko et al.,2019.0,arXiv,Encoder-decoder CNN (U-Net-like) with residual blocks and boundary-aware branch,['kidney'],False,0.9742,['KiTS 2019 (Kidney Tumor Segmentation Challenge)']
http___arxiv.org_abs_1909.07480v2,Z-Net: an Anisotropic 3D DCNN for Medical CT Volume Segmentation,Li et al.,2020.0,arXiv,Z-Net (modified 3D U-Net / V-Net),"['aorta', 'liver', 'lung']",True,,"['VISCERAL', 'SLiver07', 'Lung CT Segmentation Challenge 2017 (AAPM 2017 thoracic autosegmentation challenge)']"
http___arxiv.org_abs_2001.09647v1,Basic Ensembles of Vanilla-Style Deep Learning Models Improve Liver Segmentation From CT Images,Kavur et al.,2020.0,arXiv,Ensemble (heterogeneous) of 3D CNN segmenters,['liver'],False,0.953,"['CHAOS (CT task)', '3D-IRCADb-01 (3Dircadb1)']"
http___arxiv.org_abs_2003.07923v1,3D medical image segmentation with labeled and unlabeled data using autoencoders at the example of liver segmentation in CT images,Sitala et al.,2020.0,arXiv (Preprint submitted to Elsevier),F-Net + convolutional autoencoder (WTA-CAE),['liver'],False,0.93,"['Medical Segmentation Decathlon (MSD) Liver (Task 03) (labeled training)', 'Beyond the Cranial Vault challenge (BTCV) (labeled test/evaluation)', 'MSD supplementary unlabeled: lung, pancreas, hepatic vessel, spleen, colon (train+test) (unlabeled)']"
http___arxiv.org_abs_2009.09571v4,Semi-supervised Semantic Segmentation of Prostate and Organs-at-Risk on 3D Pelvic CT Images,Zhang et al.,2020.0,arXiv,Residual U-Net (3D) + adversarial discriminator; PGGAN for synthesis,"['prostate', 'bladder', 'rectum', 'left femur', 'right femur']",True,0.97,"['Institutional prostate cancer radiotherapy planning pelvic CT dataset (Washington University in St. Louis, IRB-approved)']"
http___arxiv.org_abs_2105.02290v1,R2U3D: Recurrent Residual 3D U-Net for Lung Segmentation,Kadia et al.,2021.0,arXiv (preprint),3D U-Net,['lungs'],False,0.992,"['LUNA16', 'VESSEL12']"
http___arxiv.org_abs_2105.14314v3,Automatic CT Segmentation from Bounding Box Annotations Using Convolutional Neural Networks,Liu et al.,2021.0,arXiv (preprint),3D U-Net (BA-Unet variant with attention),"['liver', 'spleen', 'kidney']",False,0.9519,"['Zhejiang University hospital liver dataset (internal)', 'Medical Segmentation Decathlon (MSD) Spleen', 'KiTS19 (Kidney Tumor Segmentation Challenge 2019) - kidney organ', 'LiTS (Liver Tumor Segmentation Challenge) - external validation']"
http___arxiv.org_abs_2108.06669v1,CPNet: Cycle Prototype Network for Weakly-supervised 3D Renal Compartments Segmentation on CT Images,Wang et al.,2021.0,arXiv,Prototype-based encoder-decoder CNN (U-Net-like) with Cycle Prototype Learning,"['kidney cortex', 'kidney medulla']",False,0.791,['Private LPN surgery abdominal enhanced CT dataset (CTA/CTU cross-period data)']
http___arxiv.org_abs_2109.12634v1,A Novel Hybrid Convolutional Neural Network for Accurate Organ Segmentation in 3D Head and Neck CT Images,Chen et al.,2021.0,arXiv,U-Net-like encoder-decoder hybrid CNN (OrganNet2.5D),"['brain stem', 'eyes (left/right)', 'lenses (left/right)', 'optic nerves (left/right)', 'optic chiasma', 'temporal lobes (left/right)', 'pituitary', 'parotid glands (left/right)', 'inner ears (left/right)', 'middle ears (left/right)', 'tongue', 'temporomandibular joints (left/right)', 'spinal cord', 'mandible (left/right)', 'submandibular glands (left/right)']",True,0.846,"['Head-Neck Cetuximab (TCIA) collection', 'Martin Vallières (McGill) head-and-neck dataset', 'MICCAI 2015 Head and Neck Auto Segmentation Challenge dataset']"
http___arxiv.org_abs_2203.01934v1,Quality or Quantity: Toward a Unified Approach for Multi-organ Segmentation in Body CT,Tushar et al.,2022.0,arXiv,3D U-Net,"['thyroid', 'lung-left', 'lung-right', 'heart', 'liver', 'spleen', 'kidney-right', 'kidney-left', 'gallbladder', 'ribs-right', 'ribs-left', 'bladder', 'spine', 'clavicles', 'sternum', 'scapulas', 'stomach', 'pancreas', 'pelvis', 'femur', 'arm', 'body']",True,1.0,"['XCAT phantom dataset', 'CT-ORG (TCIA)']"
http___arxiv.org_abs_2208.13271v1,Efficient Liver Segmentation with 3D CNN Using Computed Tomography Scans,Humady et al.,2022.0,arXiv,DeepMedic (3D CNN),['liver'],False,0.9454,"['MICCAI-Sliver07', 'LiTS17', '3Dircadb']"
http___arxiv.org_abs_2210.04285v1,Improved Abdominal Multi-Organ Segmentation via 3D Boundary-Constrained Deep Neural Networks,Irshad et al.,2022.0,arXiv (preprint submitted to Elsevier),3D U-Net / 3D U-Net++ / 3D Attention U-Net (multi-task variants),"['liver', 'duodenum', 'stomach', 'esophagus', 'spleen', 'gallbladder', 'left kidney', 'pancreas']",True,0.82,"['Pancreas-CT (TCIA-43 re-annotated multi-organ subset)', 'BTCV (MICCAI 2015 abdominal challenge dataset)']"
http___arxiv.org_abs_2302.00162v4,"Continual Segment: Towards a Single, Unified and Non-forgetting Continual Segmentation Model of 143 Whole-body Organs in CT Scans",Ji et al.,2023.0,ICCV 2023,nnU-Net (encoder-decoder) based continual architecture,['143 whole-body organs total (103 TotalSegmentator structures + 31 chest structures + 13 head&neck OARs + esophagus in cancer domain)'],True,0.8874,"['TotalSegmentator', 'ChestOrgan (private)', 'HNOrgan (private)', 'EsoOrgan (private)', 'Esophageal tumor dataset (private, for anomaly module)', 'Lung cancer tumor dataset (public, for anomaly module)']"
http___arxiv.org_abs_2302.13172v1,Deep Learning-based Multi-Organ CT Segmentation with Adversarial Data Augmentation,Pan et al.,2023.0,arXiv (preprint),nnU-Net; Token-based Transformer V-Net (TT-Vnet),"['left kidney', 'right kidney', 'gallbladder', 'liver', 'stomach', 'aorta', 'inferior vena cava', 'heart', 'left lung', 'right lung', 'spinal cord']",True,0.98,"['BCTV (Beyond the Cranial Vault) MICCAI 2015 challenge dataset', 'Institutional abdominal CT dataset (60 patients)']"
http___arxiv.org_abs_2309.13872v1,Attention and Pooling based Sigmoid Colon Segmentation in 3D CT images,Rahman et al.,2023.0,arXiv,3D U-Net,['sigmoid colon'],False,0.8811,['Medical Segmentation Decathlon (MSD) Colon Cancer CT dataset (Task10_Colon)']
