id,database,search_date,title,authors,year,journal_conference,doi,abstract_snippet,es_score,es_id
R0265,PubMed,2026-01-21,Pancreas segmentation using AI developed on the largest CT dataset with multi-institutional validation and implications for early cancer detection.,Mukherjee S; Antony A; Patnam NG; Trivedi KH; Karbhari A; Nagaraj M et al.,2025,Scientific reports,10.1038/s41598-025-01802-9,"Accurate and fully automated pancreas segmentation is critical for advancing imaging biomarkers in early pancreatic cancer detection and for biomarker discovery in endocrine and exocrine pancreatic diseases. We developed and evaluated a deep learning (DL)-based convolutional neural network (CNN) for automated pancreas segmentation using the largest single-institution dataset to date (n = 3031 CTs). Ground truth segmentations were performed by radiologists, which were used to train a 3D nnU-Net model through five-fold cross-validation, generating an ensemble of top-performing models. To assess generalizability, the model was externally validated on the multi-institutional AbdomenCT-1K dataset (n = 585), for which volumetric segmentations were newly generated by expert radiologists and will be made publicly available. In the test subset (n = 452), the CNN achieved a mean Dice Similarity Coefficient (DSC) of 0.94 (SD 0.05), demonstrating high spatial concordance with radiologist-annotated volumes (Concordance Correlation Coefficient [CCC]: 0.95). On the AbdomenCT-1K dataset, the model achieved a DSC of 0.96 (SD 0.04) and a CCC of 0.98, confirming its robustness across diverse imaging conditions. The proposed DL model establishes new performance benchmarks for fully automated pancreas segmentation, offering a scalable and generalizable solution for large-scale imaging biomarker research and clinical translation.",22.667486,264
R2551,Semantic Scholar,2026-01-21,Deep Segmentation Networks for Segmenting Kidneys and Detecting Kidney Stones in Unenhanced Abdominal CT Images,Dan Li; Chuda Xiao; Yang Liu; Zhuo Chen; Haseeb Hassan; Liyilei Su et al.,2022,Diagnostics,10.3390/diagnostics12081788,"Recent breakthroughs of deep learning algorithms in medical imaging, automated detection, and segmentation techniques for renal (kidney) in abdominal computed tomography (CT) images have been limited. Radiomics and machine learning analyses of renal diseases rely on the automatic segmentation of kidneys in CT images. Inspired by this, our primary aim is to utilize deep semantic segmentation learning models with a proposed training scheme to achieve precise and accurate segmentation outcomes. Moreover, this work aims to provide the community with an open-source, unenhanced abdominal CT dataset for training and testing the deep learning segmentation networks to segment kidneys and detect kidney stones. Five variations of deep segmentation networks are trained and tested both dependently (based on the proposed training scheme) and independently. Upon comparison, the models trained with the proposed training scheme enable the highly accurate 2D and 3D segmentation of kidneys and kidney stones. We believe this work is a fundamental step toward AI-driven diagnostic strategies, which can be an essential component of personalized patient care and improved decision-making in treating kidney diseases.",22.64438,2550
R0457,PubMed,2026-01-21,Accelerated muscle mass estimation from CT images through transfer learning.,Yoon S; Kim TH; Jung YK; Kim Y,2024,BMC medical imaging,10.1186/s12880-024-01449-4,"The cost of labeling to collect training data sets using deep learning is especially high in medical applications compared to other fields. Furthermore, due to variances in images depending on the computed tomography (CT) devices, a deep learning based segmentation model trained with a certain device often does not work with images from a different device. In this study, we propose an efficient learning strategy for deep learning models in medical image segmentation. We aim to overcome the difficulties of segmentation in CT images by training a VNet segmentation model which enables rapid labeling of organs in CT images with the model obtained by transfer learning using a small number of manually labeled images, called SEED images. We established a process for generating SEED images and conducting transfer learning a model. We evaluate the performance of various segmentation models such as vanilla UNet, UNETR, Swin-UNETR and VNet. Furthermore, assuming a scenario that a model is repeatedly trained with CT images collected from multiple devices, in which is catastrophic forgetting often occurs, we examine if the performance of our model degrades. We show that transfer learning can train a model that does a good job of segmenting muscles with a small number of images. In addition, it was confirmed that VNet shows better performance when comparing the performance of existing semi-automated segmentation tools and other deep learning networks to muscle and liver segmentation tasks. Additionally, we confirmed that VNet is the most robust model to deal with catastrophic forgetting problems. In the 2D CT image segmentation task, we confirmed that the CNN-based network shows better performance than the existing semi-automatic segmentation tool or latest transformer-based networks.",22.623446,456
R0277,PubMed,2026-01-21,Research on CT image segmentation and classification of liver tumors based on attention mechanism and improved U-Net model.,Mei G; Yu J,2025,Technology and health care : official journal of the European Society for Engineering and Medicine,10.1177/09287329251329294,"BackgroundLiver cancer is still one of the most common causes of death from cancer globally. The accurate segmentation of liver tumors from CT images is critical for diagnosis, treatment planning, and tracking. Conventional segmentation techniques frequently struggle to handle the intricacy of medical images, requiring the usage of sophisticated artificial intelligence (AI) methods to enhance accuracy and effectiveness.ObjectiveThe main objective of this study is to create and test an improved U-Net model (AM-UNet) that incorporates an attention mechanism to enhance the segmentation and classification accuracy of liver tumors in CT images. This method seeks to surpass previous techniques in terms of accuracy, precision, recall, and F1 score.MethodsThe dataset used includes 194 liver tumor CT scans obtained from 131 individuals for training and 70 for testing. The open-source 3DIRCAD-B dataset, which is incorporated into LiTS, contains images of both normal and pathological conditions. Preprocessing methods such as Median Filtering (MF) and Histogram Equalization (HE) were used to reduce noise and improve contrast. The AM-UNet model was then used to segment the tumors before classifying them as malignant or benign. The efficiency was assessed utilizing metrics like accuracy, precision, recall, F1-score, and ROC (Receiver Operating Characteristic).ResultsThe suggested AM-UNet model produced excellent outcomes, with a recall of 95%, accuracy of 92%, precision of 94%, and an F1-score of 93%. These metrics show that the model outperforms conventional techniques in correctly segmenting and classifying liver tumors in CT images.ConclusionThe AM-UNet model improves the segmentation and classification of liver tumors, providing substantial performance metrics over traditional methods. Its utilization can transform liver cancer diagnosis by assisting physicians in accurate tumor identification and treatment planning, resulting in improved patient results.",22.614622,276
R0643,PubMed,2026-01-21,A deep learning-based framework (Co-ReTr) for auto-segmentation of non-small cell-lung cancer in computed tomography images.,Kunkyab T; Bahrami Z; Zhang H; Liu Z; Hyde D,2024,Journal of applied clinical medical physics,10.1002/acm2.14297,"Deep learning-based auto-segmentation algorithms can improve clinical workflow by defining accurate regions of interest while reducing manual labor. Over the past decade, convolutional neural networks (CNNs) have become prominent in medical image segmentation applications. However, CNNs have limitations in learning long-range spatial dependencies due to the locality of the convolutional layers. Transformers were introduced to address this challenge. In transformers with self-attention mechanism, even the first layer of information processing makes connections between distant image locations. Our paper presents a novel framework that bridges these two unique techniques, CNNs and transformers, to segment the gross tumor volume (GTV) accurately and efficiently in computed tomography (CT) images of non-small cell-lung cancer (NSCLC) patients. Under this framework, input of multiple resolution images was used with multi-depth backbones to retain the benefits of high-resolution and low-resolution images in the deep learning architecture. Furthermore, a deformable transformer was utilized to learn the long-range dependency on the extracted features. To reduce computational complexity and to efficiently process multi-scale, multi-depth, high-resolution 3D images, this transformer pays attention to small key positions, which were identified by a self-attention mechanism. We evaluated the performance of the proposed framework on a NSCLC dataset which contains 563 training images and 113 test images. Our novel deep learning algorithm was benchmarked against five other similar deep learning models. The experimental results indicate that our proposed framework outperforms other CNN-based, transformer-based, and hybrid methods in terms of Dice score (0.92) and Hausdorff Distance (1.33). Therefore, our proposed model could potentially improve the efficiency of auto-segmentation of early-stage NSCLC during the clinical workflow. This type of framework may potentially facilitate online adaptive radiotherapy, where an efficient auto-segmentation workflow is required. Our deep learning framework, based on CNN and transformer, performs auto-segmentation efficiently and could potentially assist clinical radiotherapy workflow.",22.578445,642
R1948,Semantic Scholar,2026-01-21,Automated and robust organ segmentation for 3D-based internal dose calculation,Mahmood Nazari; L. D. Jiménez-Franco; M. Schroeder; A. Kluge; M. Bronzel; S. Kimiaei,2021,EJNMMI Research,10.1186/s13550-021-00796-5,"Purpose In this work, we address image segmentation in the scope of dosimetry using deep learning and make three main contributions: (a) to extend and optimize the architecture of an existing convolutional neural network (CNN) in order to obtain a fast, robust and accurate computed tomography (CT)-based organ segmentation method for kidneys and livers; (b) to train the CNN with an inhomogeneous set of CT scans and validate the CNN for daily dosimetry; and (c) to evaluate dosimetry results obtained using automated organ segmentation in comparison with manual segmentation done by two independent experts. Methods We adapted a performant deep learning approach using CT-images to delineate organ boundaries with sufficiently high accuracy and adequate processing time. The segmented organs were consequently used as binary masks for further convolution with a point spread function to retrieve the activity values from quantitatively reconstructed SPECT images for “volumetric”/3D dosimetry. The resulting activities were used to perform dosimetry calculations with the kidneys as source organs. Results The computational expense of the algorithm was sufficient for clinical daily routine, required minimum pre-processing and performed with acceptable accuracy a Dice coefficient of $$93\%$$ 93 % for liver segmentation and of $$94\%$$ 94 % for kidney segmentation, respectively. In addition, kidney self-absorbed doses calculated using automated segmentation differed by $$7\%$$ 7 % from dosimetry performed by two medical physicists in 8 patients. Conclusion The proposed approach may accelerate volumetric dosimetry of kidneys in molecular radiotherapy with 177Lu-labelled radiopharmaceuticals such as 177Lu-DOTATOC. However, even though a fully automated segmentation methodology based on CT images accelerates organ segmentation and performs with high accuracy, it does not remove the need for supervision and corrections by experts, mostly due to misalignments in the co-registration between SPECT and CT images. Trial registration EudraCT, 2016-001897-13. Registered 26.04.2016, www.clinicaltrialsregister.eu/ctr-search/search?query=2016-001897-13 .",22.576054,1947
R2109,Semantic Scholar,2026-01-21,Dual-energy CT for automatic organs-at-risk segmentation in brain-tumor patients using a multi-atlas and deep-learning approach,B. van der Heyden; P. Wohlfahrt; D. B. Eekers; C. Richter; K. Terhaag; E. Troost et al.,2019,Scientific Reports,10.1038/s41598-019-40584-9,"In radiotherapy, computed tomography (CT) datasets are mostly used for radiation treatment planning to achieve a high-conformal tumor coverage while optimally sparing healthy tissue surrounding the tumor, referred to as organs-at-risk (OARs). Based on CT scan and/or magnetic resonance images, OARs have to be manually delineated by clinicians, which is one of the most time-consuming tasks in the clinical workflow. Recent multi-atlas (MA) or deep-learning (DL) based methods aim to improve the clinical routine by an automatic segmentation of OARs on a CT dataset. However, so far no studies investigated the performance of these MA or DL methods on dual-energy CT (DECT) datasets, which have been shown to improve the image quality compared to conventional 120 kVp single-energy CT. In this study, the performance of an in-house developed MA and a DL method (two-step three-dimensional U-net) was quantitatively and qualitatively evaluated on various DECT-derived pseudo-monoenergetic CT datasets ranging from 40 keV to 170 keV. At lower energies, the MA method resulted in more accurate OAR segmentations. Both the qualitative and quantitative metric analysis showed that the DL approach often performed better than the MA method.",22.531105,2108
R0520,PubMed,2026-01-21,Improving lung nodule segmentation in thoracic CT scans through the ensemble of 3D U-Net models.,Rikhari H; Baidya Kayal E; Ganguly S; Sasi A; Sharma S; Antony A et al.,2024,International journal of computer assisted radiology and surgery,10.1007/s11548-024-03222-y,"The current study explores the application of 3D U-Net architectures combined with Inception and ResNet modules for precise lung nodule detection through deep learning-based segmentation technique. This investigation is motivated by the objective of developing a Computer-Aided Diagnosis (CAD) system for effective diagnosis and prognostication of lung nodules in clinical settings. The proposed method trained four different 3D U-Net models on the retrospective dataset obtained from AIIMS Delhi. To augment the training dataset, affine transformations and intensity transforms were utilized. Preprocessing steps included CT scan voxel resampling, intensity normalization, and lung parenchyma segmentation. Model optimization utilized a hybrid loss function that combined Dice Loss and Focal Loss. The model performance of all four 3D U-Nets was evaluated patient-wise using dice coefficient and Jaccard coefficient, then averaged to obtain the average volumetric dice coefficient (DSC<sub>avg</sub>) and average Jaccard coefficient (IoU<sub>avg</sub>) on a test dataset comprising 53 CT scans. Additionally, an ensemble approach (Model-V) was utilized featuring 3D U-Net (Model-I), ResNet (Model-II), and Inception (Model-III) 3D U-Net architectures, combined with two distinct patch sizes for further investigation. The ensemble of models obtained the highest DSC<sub>avg</sub> of 0.84 ± 0.05 and IoU<sub>avg</sub> of 0.74 ± 0.06 on the test dataset, compared against individual models. It mitigated false positives, overestimations, and underestimations observed in individual U-Net models. Moreover, the ensemble of models reduced average false positives per scan in the test dataset (1.57 nodules/scan) compared to individual models (2.69-3.39 nodules/scan). The suggested ensemble approach presents a strong and effective strategy for automatically detecting and delineating lung nodules, potentially aiding CAD systems in clinical settings. This approach could assist radiologists in laborious and meticulous lung nodule detection tasks in CT scans, improving lung cancer diagnosis and treatment planning.",22.502707,519
R0503,PubMed,2026-01-21,Semi-supervised abdominal multi-organ segmentation by object-redrawing.,Cho MJ; Lee JS,2024,Medical physics,10.1002/mp.17364,"Multi-organ segmentation is a critical task in medical imaging, with wide-ranging applications in both clinical practice and research. Accurate delineation of organs from high-resolution 3D medical images, such as CT scans, is essential for radiation therapy planning, enhancing treatment outcomes, and minimizing radiation toxicity risks. Additionally, it plays a pivotal role in quantitative image analysis, supporting various medical research studies. Despite its significance, manual segmentation of multiple organs from 3D images is labor-intensive and prone to low reproducibility due to high interoperator variability. Recent advancements in deep learning have led to several automated segmentation methods, yet many rely heavily on labeled data and human anatomy expertise. In this study, our primary objective is to address the limitations of existing semi-supervised learning (SSL) methods for abdominal multi-organ segmentation. We aim to introduce a novel SSL approach that leverages unlabeled data to enhance the performance of deep neural networks in segmenting abdominal organs. Specifically, we propose a method that incorporates a redrawing network into the segmentation process to correct errors and improve accuracy. Our proposed method comprises three interconnected neural networks: a segmentation network for image segmentation, a teacher network for consistency regularization, and a redrawing network for object redrawing. During training, the segmentation network undergoes two rounds of optimization: basic training and readjustment. We adopt the Mean-Teacher model as our baseline SSL approach, utilizing labeled and unlabeled data. However, recognizing significant errors in abdominal multi-organ segmentation using this method alone, we introduce the redrawing network to generate redrawn images based on CT scans, preserving original anatomical information. Our approach is grounded in the generative process hypothesis, encompassing segmentation, drawing, and assembling stages. Correct segmentation is crucial for generating accurate images. In the basic training phase, the segmentation network is trained using both labeled and unlabeled data, incorporating consistency learning to ensure consistent predictions before and after perturbations. The readjustment phase focuses on reducing segmentation errors by optimizing the segmentation network parameters based on the differences between redrawn and original CT images. We evaluated our method using two publicly available datasets: the beyond the cranial vault (BTCV) segmentation dataset (training: 44, validation: 6) and the abdominal multi-organ segmentation (AMOS) challenge 2022 dataset (training:138, validation:16). Our results were compared with state-of-the-art SSL methods, including MT and dual-task consistency (DTC), using the Dice similarity coefficient (DSC) as an accuracy metric. On both datasets, our proposed SSL method consistently outperformed other methods, including supervised learning, achieving superior segmentation performance for various abdominal organs. These findings demonstrate the effectiveness of our approach, even with a limited number of labeled data. Our novel semi-supervised learning approach for abdominal multi-organ segmentation addresses the challenges associated with this task. By integrating a redrawing network and leveraging unlabeled data, we achieve remarkable improvements in accuracy. Our method demonstrates superior performance compared to existing SSL and supervised learning methods. This approach holds great promise in enhancing the precision and efficiency of multi-organ segmentation in medical imaging applications.",22.447361,502
R0367,PubMed,2026-01-21,"Ensemble Learning for Three-dimensional Medical Image Segmentation of Organ at Risk in Brachytherapy Using Double U-Net, Bi-directional ConvLSTM U-Net, and Transformer Network.",Pal S; Singh RP; Kumar A,2024,Journal of medical physics,10.4103/jmp.jmp_160_24,"This article presents a novel approach to automate the segmentation of organ at risk (OAR) for high-dose-rate brachytherapy patients using three deep learning models combined with ensemble learning techniques. It aims to improve the accuracy and efficiency of segmentation. The dataset comprised computed tomography (CT) scans of 60 patients obtained from our own institutional image bank and 10 patients from the other institute, all in Digital Imaging and Communications in Medicine format. Experienced radiation oncologists manually segmented four OARs for each scan. Each scan was preprocessed and three models, Double U-Net (DUN), Bi-directional ConvLSTM U-Net (BCUN), and Transformer Networks (TN), were trained on reduced CT scans (240 × 240 × 128) due to memory limitations. Ensemble learning techniques were employed to enhance accuracy and segmentation metrics. Testing and validation were conducted on 12 patients from our institute (OID) and 10 patients from another institute (DID). For DID test dataset, using the ensemble learning technique combining Transformer Network (TN) and BCUN, i.e., TN + BCUN, the average Dice similarity coefficient (DSC) ranged from 0.992 to 0.998, and for DUN and BCUN (DUN + BCUN) combination, the average DSC ranged from 0.990 to 0.993, which reflecting high segmentation accuracy. The 95% Hausdorff distance (HD) ranged from 0.9 to 1.2 mm for TN + BCUN and 1.1 to 1.4 mm for DUN + BCUN, demonstrating precise segmentation boundaries. The proposed method leverages the strengths of each network architecture. The DUN setup excels in sequential processing, the BCUN captures spatiotemporal dependencies, and transformer networks provide a robust understanding of global context. This combination enables efficient and accurate segmentation, surpassing human expert performance in both time and accuracy.",22.447134,366
R2399,Semantic Scholar,2026-01-21,An Empirical Study on the Fairness of Foundation Models for Multi-Organ Image Segmentation,Qin Li; Yizhe Zhang; Yan Li; Jun Lyu; Meng Liu; Longyu Sun et al.,2024,International Conference on Medical Image Computing and Computer-Assisted Intervention,10.48550/arXiv.2406.12646,"The segmentation foundation model, e.g., Segment Anything Model (SAM), has attracted increasing interest in the medical image community. Early pioneering studies primarily concentrated on assessing and improving SAM's performance from the perspectives of overall accuracy and efficiency, yet little attention was given to the fairness considerations. This oversight raises questions about the potential for performance biases that could mirror those found in task-specific deep learning models like nnU-Net. In this paper, we explored the fairness dilemma concerning large segmentation foundation models. We prospectively curate a benchmark dataset of 3D MRI and CT scans of the organs including liver, kidney, spleen, lung and aorta from a total of 1056 healthy subjects with expert segmentations. Crucially, we document demographic details such as gender, age, and body mass index (BMI) for each subject to facilitate a nuanced fairness analysis. We test state-of-the-art foundation models for medical image segmentation, including the original SAM, medical SAM and SAT models, to evaluate segmentation efficacy across different demographic groups and identify disparities. Our comprehensive analysis, which accounts for various confounding factors, reveals significant fairness concerns within these foundational models. Moreover, our findings highlight not only disparities in overall segmentation metrics, such as the Dice Similarity Coefficient but also significant variations in the spatial distribution of segmentation errors, offering empirical evidence of the nuanced challenges in ensuring fairness in medical image segmentation.",22.441088,2398
R0166,PubMed,2026-01-21,HEE-SegGAN: A holistically-nested edge enhanced GAN for pulmonary nodule segmentation.,Wang Y; Mustaza SM; Ab-Rahman MS; Mokri SS,2025,PloS one,10.1371/journal.pone.0328629,"Accurate segmentation of pulmonary nodules plays a critical role in monitoring disease progression and enabling early lung cancer screening. However, this task remains challenging due to the complex morphological variability of pulmonary nodules in CT images and the limited availability of well-annotated datasets. In this study, we proposed HEE-SegGAN, a holistically-nested edge-enhanced generative adversarial networks, which integrated HED-U-Net with a GAN framework to improve model robustness and edge segmentation accuracy. To incorporate spatial continuity, we constructed pseudo-color CT images by merging three consecutive lung CT slices into the RGB channels. The generator adopted the HED-U-Net, while the discriminator was implemented as a convolutional neural network. Two inverted residual modules were embedded within the HED-U-Net to fuse inter-slice spatial information and enhance salient features using a channel attention mechanism. Furthermore, we exploited the side outputs of HED-U-Net for deep supervision, ensuring that the generated results align with the statistical characteristics of real data. To mitigate mode collapse, we incorporated minibatch discrimination in the discriminator, encouraging diversity in the generated samples. We also improved the loss function to better capture edge-level details and enhance segmentation precision in edge regions. Finally, a series of ablation experiments on the LUNA16 dataset demonstrated the effectiveness of the proposed method. Compared to traditional 3D methods, our approach extracted features more efficiently while preserving spatial information and reducing computational requirements. The use of multi-scale feature maps in HED-U-Net enabled deeply supervised GAN training. The combination of feature matching and minibatch discrimination further improved model stability and segmentation performance. Overall, the proposed pipeline exhibited strong potential for accurate segmentation across a wide range of medical imaging tasks.",22.406412,165
R0083,PubMed,2026-01-21,Abdominal multi-organ segmentation on 3D negative-contrast CT cholangiopancreatography: a comparative study of deep learning methods.,Li B; Zhang J; Fu H; Zhang L; Chen FM; Zhao W et al.,2025,Abdominal radiology (New York),10.1007/s00261-025-05273-4,"This study aims to automate segmentation of the biliary and pancreatic systems on 3D negative-contrast CT cholangiopancreatography (3D-nCTCP) to improve preoperative planning and diagnosis. We retrospectively collected dual-phase enhanced CT data from 111 patients with malignant low biliary obstruction. Portal phase data were processed and annotated by an expert radiologist. The dataset, comprising 25,700 images, was split into 91 patients for training/validation and 20 patients for testing. Four state-of-the-art segmentation models, namely TransUNet 2D, nnU-Net 2D, Swin-UNETR 2D, and Swin-UNETR 3D, were implemented and quantitatively compared. Model performance was evaluated using the Dice Similarity Coefficient (DSC) and the Average Symmetric Surface Distance (ASSD), with the inter-observer variability (IOV) serving as the clinical benchmark. Across all models, segmentation performance exhibited high accuracy for the liver, with notably lower accuracy for smaller, more complex organs (duodenum, pancreas, biliary system). The Swin-UNETR 3D model demonstrated superior overall segmentation performance, particularly for challenging organs, with competitive stability. Swin-UNETR 3D achieved a mean DSC of 96.12% ± 1.09% and ASSD of 4.60 mm ± 8.25 mm for the liver, mean DSC of 75.31% ± 11.31% and ASSD of 4.42 mm ± 5.84 mm for the duodenum, mean DSC of 81.00% ± 6.33% and ASSD of 2.07 mm ± 1.70 mm for the pancreas, and mean DSC of 88.64% ± 6.74% and ASSD of 5.47 mm ± 12.13 mm for the biliary system. The 3D volumetric approach in Swin-UNETR 3D outperformed its 2D counterparts (TransUNet 2D, nnU-Net 2D, Swin-UNETR 2D) in most metrics, particularly for the duodenum, where it achieved the highest mean DSC and improved boundary localization compared to 2D models. The comparative analysis demonstrates the superiority of 3D volumetric models (Swin-UNETR 3D) over 2D models for accurate and stable abdominal multi-organ segmentation on 3D-nCTCP, reduces manual annotation time, and may aid broader clinical adoption.",22.301987,82
R0008,PubMed,2026-01-21,A MultiRater MultiOrgan Abdominal CT Dataset for Calibration Analysis and Uncertainty Modeling in Segmentation.,Riera-Marin M; Kleiss JM; Aubanell A; Antolin A; Moreno-Vedia J; Rodriguez-Comas J et al.,2026,Scientific data,10.1038/s41597-025-06473-9,"In medical imaging, deep learning (DL) models often struggle to delineate ambiguous structures such as tumors or organ boundaries, leading to uncertainty in defining precise contours. This challenge is amplified by inter-rater variability, where experts may disagree on boundary delineations, resulting in inconsistent segmentation outcomes. Addressing these issues requires robust algorithms capable of quantifying uncertainty, standardizing annotation practices, and improving calibration to ensure reliable predictions, particularly in multi-class and multi-rater scenarios. When models are miscalibrated and overconfident, their outputs can mislead clinical decision-making, potentially influencing radiologists to over- or under-estimate malignancy risks. The CURVAS challenge (Calibration and Uncertainty for multiRater Volume Assessment in multiorgan Segmentation) was established to address these challenges by jointly assessing uncertainty, calibration, and segmentation quality, as well as promoting clinical relevance by evaluating organ volumes while accounting for annotation variability. To support this, a dataset of 90 contrast-enhanced CT scans from University Hospital Erlangen was curated, containing pancreas, liver, and kidney segmentations annotated by three experts. This resource provides a foundation for developing and benchmarking algorithms that balance segmentation accuracy, calibration, and reliability. A quantitative analysis of the annotations shows that kidney and liver segmentations exhibit strong consistency, whereas the pancreas remains challenging, emphasizing the need for refined labeling protocols and improved training strategies.",22.2512,7
R0171,PubMed,2026-01-21,Deep Learning-Based Instance-Level Segmentation of Kidney and Liver Cysts in CT Images of Patients Affected by Polycystic Kidney Disease.,Gregory AV; Khalifa M; Im J; Ramanathan S; Elbarougy DE; Cruz C et al.,2025,Kidney360,10.34067/KID.0000000924,"Total kidney and liver volumes are key image-based biomarkers to predict the severity of kidney and liver phenotype in autosomal dominant polycystic kidney disease (ADPKD). However, MRI-based advanced biomarkers like total cyst number (TCN) and cyst parenchyma surface area (CPSA) have been shown to more accurately assess cyst burden and improve the prediction of disease progression. The main aim of this study is to extend the calculation of advanced biomarkers to other imaging modalities; thus, we propose a fully automated model to segment kidney and liver cysts in CT images. Abdominal CTs of ADPKD patients were gathered retrospectively between 2001-2018. A 3D deep-learning method using the nnU-Net architecture was trained to learn cyst edges-cores and the non-cystic kidney/liver parenchyma. Separate segmentation models were trained for kidney cysts in contrast-enhanced CTs and liver cysts in non-contrast CTs using an active learning approach. Two experienced research fellows manually generated the reference standard segmentation, which were reviewed by an expert radiologist for accuracy. Two-hundred CT scans from 148 patients (mean age, 51.2 ± 14.1 years; 48% male) were utilized for model training (80%) and testing (20%). In the test set, both models showed good agreement with the reference standard segmentations, similar to the agreement between two independent human readers (model vs reader: TCNkidney/liver r=0.96/0.97 and CPSAkidney r=0.98), inter-reader: TCNkidney/liver r=0.96/0.98 and CPSAkidney r=0.99). Our study demonstrates that automated models can segment kidney and liver cysts accurately in CT scans of patients with ADPKD.",22.243467,170
R0524,PubMed,2026-01-21,A dual-encoder double concatenation Y-shape network for precise volumetric liver and lesion segmentation.,d'Albenzio G; Kamkova Y; Naseem R; Ullah M; Colonnese S; Cheikh FA et al.,2024,Computers in biology and medicine,10.1016/j.compbiomed.2024.108870,"Accurate segmentation of the liver and tumors from CT volumes is crucial for hepatocellular carcinoma diagnosis and pre-operative resection planning. Despite advances in deep learning-based methods for abdominal CT images, fully-automated segmentation remains challenging due to class imbalance and structural variations, often requiring cascaded approaches that incur significant computational costs. In this paper, we present the Dual-Encoder Double Concatenation Network (DEDC-Net) for simultaneous segmentation of the liver and its tumors. DEDC-Net leverages both residual and skip connections to enhance feature reuse and optimize performance in liver and tumor segmentation tasks. Extensive qualitative and quantitative experiments on the LiTS dataset demonstrate that DEDC-Net outperforms existing state-of-the-art liver segmentation methods. An ablation study was conducted to evaluate different encoder backbones - specifically VGG19 and ResNet - and the impact of incorporating an attention mechanism. Our results indicate that DEDC-Net, without any additional attention gates, achieves a superior mean Dice Score (DS) of 0.898 for liver segmentation. Moreover, integrating residual connections into one encoder yielded the highest DS for tumor segmentation tasks. The robustness of our proposed network was further validated on two additional, unseen CT datasets: IDCARDb-01 and COMET. Our model demonstrated superior lesion segmentation capabilities, particularly on IRCADb-01, achieving a DS of 0.629. The code implementation is publicly available at this website.",22.208714,523
R0512,PubMed,2026-01-21,Anatomy-constrained synthesis for spleen segmentation improvement in unpaired mouse micro-CT scans with 3D CycleGAN.,Jiang L; Xu D; Sheng K,2024,Biomedical physics & engineering express,10.1088/2057-1976/ad6a63,"<i>Objective</i>. Auto-segmentation in mouse micro-CT enhances the efficiency and consistency of preclinical experiments but often struggles with low-native-contrast and morphologically complex organs, such as the spleen, resulting in poor segmentation performance. While CT contrast agents can improve organ conspicuity, their use complicates experimental protocols and reduces feasibility. We developed a 3D Cycle Generative Adversarial Network (CycleGAN) incorporating anatomy-constrained U-Net models to leverage contrast-enhanced CT (CECT) insights to improve unenhanced native CT (NACT) segmentation.<i>Approach.</i>We employed a standard CycleGAN with an anatomical loss function to synthesize virtual CECT images from unpaired NACT scans at two different resolutions. Prior to training, two U-Nets were trained to automatically segment six major organs in NACT and CECT datasets, respectively. These pretrained 3D U-Nets were integrated during the CycleGAN training, segmenting synthetic images, and comparing them against ground truth annotations. The compound loss within the CycleGAN maintained anatomical fidelity. Full image processing was achieved for low-resolution datasets, while high-resolution datasets employed a patch-based method due to GPU memory constraints. Automated segmentation was applied to original NACT and synthetic CECT scans to evaluate CycleGAN performance using the Dice Similarity Coefficient (DSC) and the 95th percentile Hausdorff Distance (HD<sub>95p</sub>).<i>Main results.</i>High-resolution scans showed improved auto-segmentation, with an average DSC increase from 0.728 to 0.773 and a reduced HD95p from 1.19 mm to 0.94 mm. Low-resolution scans benefited more from synthetic contrast, showing a DSC increase from 0.586 to 0.682 and an HD<sub>95p</sub>reduction from 3.46 mm to 1.24 mm.<i>Significance.</i>Implementing CycleGAN to synthesize CECT scans substantially improved the visibility of the mouse spleen, leading to more precise auto-segmentation. This approach shows the potential in preclinical imaging studies where contrast agent use is impractical.",22.202944,511
R2536,Semantic Scholar,2026-01-21,Light-Weight Hybrid Convolutional Network for Liver Tumor Segmentation,Jianpeng Zhang; Yutong Xie; Pingping Zhang; Hao Chen; Yong Xia; Chunhua Shen,2019,International Joint Conference on Artificial Intelligence,10.24963/ijcai.2019/593,"Automated segmentation of liver tumors in contrast-enhanced abdominal computed tomography (CT) scans is essential in assisting medical professionals to evaluate tumor development and make fast therapeutic schedule. Although deep convolutional neural networks (DCNNs) have contributed many breakthroughs in image segmentation, this task remains challenging, since 2D DCNNs are incapable of exploring the inter-slice information and 3D DCNNs are too complex to be trained with the available small dataset. In this paper, we propose the light-weight hybrid convolutional network (LW-HCN) to segment the liver and its tumors in CT volumes. Instead of combining a 2D and a 3D networks for coarse-to-fine segmentation, LW-HCN has a encoder-decoder structure, in which 2D convolutions used at the bottom of the encoder decreases the complexity and 3D convolutions used in other layers explore both spatial and temporal information. To further reduce the complexity, we design the depthwise and spatiotemporal separate (DSTS) factorization for 3D convolutions, which not only reduces parameters dramatically but also improves the performance. We evaluated the proposed LW-HCN model against several recent methods on the LiTS and 3D-IRCADb datasets and achieved, respectively, the Dice per case of 73.0% and 94.1% for tumor segmentation, setting a new state of the art.",22.163258,2535
