paper_id,title,abstract_snippet,pdf_status,included_in_review,exclusion_reason,exclusion_stage
10.1002/mp.70135,Multi-group deformable convolution network for 3D medical image segmentation.,"Medical image segmentation plays an important role in radiation oncology, including delineating anatomical structures and detecting abnormalities. Precise segmentation of medical images is essential f",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.16750,A new architecture combining convolutional and transformer-based networks for automatic 3D multi-organ segmentation on CT images.,Deep learning-based networks have become increasingly popular in the field of medical image segmentation. The purpose of this research was to develop and optimize a new architecture for automatic segm,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/1.JMI.11.4.044001,Lung vessel connectivity map as anatomical prior knowledge for deep learning-based lung lobe segmentation.,Our study investigates the potential benefits of incorporating prior anatomical knowledge into a deep learning (DL) method designed for the automated segmentation of lung lobes in chest CT scans. We i,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2549035,Validation and Optimization of Multi-Organ Segmentation on Clinical Imaging Archives,"Segmentation of abdominal computed tomography (CT) provides spatial context, morphological properties, and a framework for tissue-specific radiomics to guide quantitative Radiological assessment. A 20",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2512883,Multi-organ segmentation in clinical-computed tomography for patient-specific image quality and dose metrology,"The purpose of this study was to develop a robust, automated multi-organ segmentation model for clinical adult and pediatric CT and implement the model as part of a patient-specific safety and quality",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.2214/AJR.24.30931,Deep Learning Models for Abdominal CT Organ Segmentation in Children: Development and Validation in Internal and Heterogeneous Public Datasets.,<b>BACKGROUND.</b> Deep learning abdominal organ segmentation algorithms have shown excellent results in adults; validation in children is sparse. <b>OBJECTIVE.</b> The purpose of this article is to d,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.4103/jmp.jmp_238_25,DART-Net: A Novel Deep Learning Framework for Precise Radiotherapy Planning with Automated Multiorgan Segmentation and RTSTRUCT Generation,"
 
 Manual delineation of pelvic organs remains a critical bottleneck in radiotherapy planning, consuming valuable clinical time and introducing interobserver variability. While existing deep learning",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.25073/2588-1086/VNUCSCE.241,Liver Segmentation on a Variety of Computed Tomography (CT) Images Based on Convolutional Neural Networks Combined with Connected Components,"Liver segmentation is relevant for several clinical applications. Automatic liver segmentation using convolutional neural networks (CNNs) has been recently investigated. In this paper, we propose a ne",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1109/EMBC40787.2023.10340353,Partial Label Multi-organ Segmentation based on Local Feature Enhancement.,"The automatic segmentation of abdominal organs from CT images is essential for surgical planning of abdominal diseases. However, each medical institution only annotates some organs according to its ow",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2512318,Large-scale evaluation of V-Net for organ segmentation in image guided radiation therapy,"Accurate segmentation of organs at risk (OARs) is a key step in image guided radiation therapy. In recent years, deep learning based methods have been widely used in medical image segmentation. Among ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1038/s41598-024-67658-7,AI-based segmentation of renal enhanced CT images for quantitative evaluate of chronic kidney disease.,"To quantitatively evaluate chronic kidney disease (CKD), a deep convolutional neural network-based segmentation model was applied to renal enhanced computed tomography (CT) images. A retrospective ana",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.17440,UNet-based multi-organ segmentation in photon counting CT using virtual monoenergetic images.,"Multi-organ segmentation aids in disease diagnosis, treatment, and radiotherapy. The recently emerged photon counting detector-based CT (PCCT) provides spectral information of the organs and the backg",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3390/diagnostics15222834,Deep Learning Model for Volume Measurement of the Remnant Pancreas After Pancreaticoduodenectomy and Distal Pancreatectomy.,<b>Background/Objectives:</b> Accurate volumetry of the remnant pancreas after pancreatectomy is crucial for assessing postoperative endocrine and exocrine function but remains challenging due to anat,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3389/fvets.2025.1681820,Deep-learning-based automatic liver segmentation using computed tomography images in dogs.,"Deep learning-based automated segmentation has significantly improved the efficiency and accuracy of human medicine applications. However, veterinary applications, particularly canine liver segmentati",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.17815,Point-cloud segmentation with in-silico data augmentation for prostate cancer treatment.,"In external x-ray radiation therapy, the administered dose distribution can deviate from the planned dose due to alterations in patient positioning, changes in intra-fraction anatomy, and the limited ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.21203/rs.3.rs-718965/v1,Dosimetric Impact of Deep Learning-Based CT Auto-Segmentation on IMRT Treatment Planning for Prostate Cancer,"
 Background The evaluation of the automatic segmentation algorithms is commonly performed using geometric metrics, yet an evaluation based on dosimetric parameters might be more relevant in clinical ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1109/ICECCME62383.2024.10797214,Mamba State Space Model (SSM) Method for the Automatic Segmentation of Organs at Risk from Head and Neck CT Images,Radiotherapy (RT) is one of the main treatment modalities using high-energy radiation to eliminate cancer cells in Head and Neck cancer (HNC) for patients worldwide. Advances such as intensity-modulat,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/ima.22802,SABOS‐Net: Self‐supervised attention based network for automatic organ segmentation of head and neck CT images,The segmentation of Organs At Risk (OAR) in Computed Tomography (CT) images is an essential part of the planning phase of radiation treatment to avoid the adverse effects of cancer radiotherapy treatm,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.21037/qims-24-841,Artificial intelligence models assisting physicians in quantifying pancreatic necrosis in acute pancreatitis.,"Acute pancreatitis (AP) is a potentially life-threatening condition characterized by inflammation of the pancreas, which can lead to complications such as pancreatic necrosis. The modified computed to",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1038/s41598-025-01802-9,Pancreas segmentation using AI developed on the largest CT dataset with multi-institutional validation and implications for early cancer detection.,Accurate and fully automated pancreas segmentation is critical for advancing imaging biomarkers in early pancreatic cancer detection and for biomarker discovery in endocrine and exocrine pancreatic di,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.17364,Semi-supervised abdominal multi-organ segmentation by object-redrawing.,"Multi-organ segmentation is a critical task in medical imaging, with wide-ranging applications in both clinical practice and research. Accurate delineation of organs from high-resolution 3D medical im",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.4103/jmp.jmp_160_24,"Ensemble Learning for Three-dimensional Medical Image Segmentation of Organ at Risk in Brachytherapy Using Double U-Net, Bi-directional ConvLSTM U-Net, and Transformer Network.",This article presents a novel approach to automate the segmentation of organ at risk (OAR) for high-dose-rate brachytherapy patients using three deep learning models combined with ensemble learning te,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s00261-025-05273-4,Abdominal multi-organ segmentation on 3D negative-contrast CT cholangiopancreatography: a comparative study of deep learning methods.,This study aims to automate segmentation of the biliary and pancreatic systems on 3D negative-contrast CT cholangiopancreatography (3D-nCTCP) to improve preoperative planning and diagnosis. We retrosp,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.compbiomed.2024.108870,A dual-encoder double concatenation Y-shape network for precise volumetric liver and lesion segmentation.,Accurate segmentation of the liver and tumors from CT volumes is crucial for hepatocellular carcinoma diagnosis and pre-operative resection planning. Despite advances in deep learning-based methods fo,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1088/2057-1976/ad6a63,Anatomy-constrained synthesis for spleen segmentation improvement in unpaired mouse micro-CT scans with 3D CycleGAN.,<i>Objective</i>. Auto-segmentation in mouse micro-CT enhances the efficiency and consistency of preclinical experiments but often struggles with low-native-contrast and morphologically complex organs,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1088/1361-6560/ad7ad1,Deep learning-based segmentation for high-dose-rate brachytherapy in cervical cancer using 3D Prompt-ResUNet.,<i>Objective.</i>To develop and evaluate a 3D Prompt-ResUNet module that utilized the prompt-based model combined with 3D nnUNet for rapid and consistent autosegmentation of high-risk clinical target ,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/acm2.70193,A multi-stage 3D convolutional neural network algorithm for CT-based lung segment parcellation.,"Current approaches to lung parcellation utilize established fissures between lobes to provide estimates of lobar volume. However, deep learning segment parcellation provides the ability to better asse",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1097/AS9.0000000000000155,nnU-Net Deep Learning Method for Segmenting Parenchyma and Determining Liver Volume From Computed Tomography Images,Background: Recipient donor matching in liver transplantation can require precise estimations of liver volume. Currently utilized demographic-based organ volume estimates are imprecise and nonspecific,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/978-3-031-21014-3_18,Dynamic Linear Transformer for 3D Biomedical Image Segmentation.,Transformer-based neural networks have surpassed promising performance on many biomedical image segmentation tasks due to a better global information modeling from the self-attention mechanism. Howeve,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2652257,Machine reasoning for segmentation of the kidneys on CT images: improving CNN performance by incorporating anatomical knowledge in post-processing,"Purpose: Convolutional Neural Networks (CNN) are frequently used for organ segmentation in medical imaging. Many CNNs, however, struggle for acceptance into clinical practice because of mis-segmentati",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1038/s41598-024-60668-5,Deep learning-aided 3D proxy-bridged region-growing framework for multi-organ segmentation.,"Accurate multi-organ segmentation in 3D CT images is imperative for enhancing computer-aided diagnosis and radiotherapy planning. However, current deep learning-based methods for 3D multi-organ segmen",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3233/SHTI250892,Deep Learning-Based Cascade 3D Kidney Segmentation Method.,Renal tumors require early diagnosis and precise localization for effective treatment. This study aims to automate renal tumor analysis in abdominal CT images using a cascade 3D U-Net architecture for,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1088/1361-6560/ace099,A two-stage data-model driven pancreas segmentation strategy embedding directional information of the boundary intensity gradient and deep adaptive pointwise parameters.,"In this paper, we propose a two-stage data-model driven pancreas segmentation method that combines a 3D convolution neural network with adaptive pointwise parametric hybrid variational model embedding",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1088/2057-1976/ace631,Auto-segmentation of thoracic organs in CT scans of breast cancer patients using a 3D U-net cascaded into 2D patchGANs.,The quality of organ volume delineation significantly influences the efficacy of radiotherapy treatment for breast cancer patients. This study introduces a novel method for auto-segmentation of the br,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s11547-024-01833-8,Automated hepatic steatosis assessment on dual-energy CT-derived virtual non-contrast images through fully-automated 3D organ segmentation.,To evaluate the efficacy of volumetric CT attenuation-based parameters obtained through automated 3D organ segmentation on virtual non-contrast (VNC) images from dual-energy CT (DECT) for assessing he,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.compbiomed.2025.110925,Interpreting convolutional neural network explainability for head-and-neck cancer radiotherapy organ-at-risk segmentation.,"Convolutional neural networks (CNNs) have emerged to reduce clinical resources and standardize auto-contouring of organs-at-risk (OARs). Although CNNs perform adequately for most patients, understandi",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.media.2025.103885,PL-Seg: Partially labeled abdominal organ segmentation via classwise orthogonal contrastive learning and progressive self-distillation.,"Accurate segmentation of abdominal organs in Computed Tomography (CT) scans is crucial for effective lesion diagnosis, radiotherapy planning, and patient follow-up. Although deep learning has shown gr",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1109/EMBC58623.2025.11253344,Fast Multi-Organ Fine Segmentation in CT Images with Hierarchical Sparse Sampling and Residual Transformer.,"Multi-Organ segmentation of 3D medical images is fundamental with meaningful applications in various clinical automation pipelines. Although deep learning has achieved superior performance, the time a",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.7150/thno.90246,Deep learning for automatic organ and tumor segmentation in nanomedicine pharmacokinetics.,"<b>Rationale</b>: Multimodal imaging provides important pharmacokinetic and dosimetry information during nanomedicine development and optimization. However, accurate quantitation is time-consuming, re",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.ejrad.2025.112175,Deep-learning based automated pancreas segmentation on CT scans of chronic pancreatitis patients.,This study aimed to develop an artificial intelligence (AI)-based segmentation model for accurate delineation of the complex pancreas in patients with chronic pancreatitis (CP) using computer tomograp,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s00330-023-10235-9,"External validation, radiological evaluation, and development of deep learning automatic lung segmentation in contrast-enhanced chest CT.","There is a need for CT pulmonary angiography (CTPA) lung segmentation models. Clinical translation requires radiological evaluation of model outputs, understanding of limitations, and identification o",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.17300,Reinforcement learning-based anatomical maps for pancreas subregion and duct segmentation.,"The pancreas is a complex abdominal organ with many anatomical variations, and therefore automated pancreas segmentation from medical images is a challenging application. In this paper, we present a f",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3389/fmed.2021.794969,Three-Dimensional Liver Image Segmentation Using Generative Adversarial Networks Based on Feature Restoration,"Medical imaging provides a powerful tool for medical diagnosis. In the process of computer-aided diagnosis and treatment of liver cancer based on medical imaging, accurate segmentation of liver region",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1038/s41598-023-47743-z,Segmentation of lung lobes and lesions in chest CT for the classification of COVID-19 severity.,"To precisely determine the severity of COVID-19-related pneumonia, computed tomography (CT) is an imaging modality beneficial for patient monitoring and therapy planning. Thus, we aimed to develop a d",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.compmedimag.2025.102501,ProtoSAM-3D: Interactive semantic segmentation in volumetric medical imaging via a Segment Anything Model and mask-level prototypes.,"Semantic segmentation of volumetric medical images is essential for accurate delineation of anatomic structures and pathology, enabling quantitative analysis in precision medicine applications. While ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.4111/icu.20200086,Expert-level segmentation using deep learning for volumetry of polycystic kidney and liver,"Purpose Volumetry is used in polycystic kidney and liver diseases (PKLDs), including autosomal dominant polycystic kidney disease (ADPKD), to assess disease progression and drug efficiency. However, s",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/978-3-030-68107-4_12,PC-U Net: Learning to Jointly Reconstruct and Segment the Cardiac Walls in 3D from CT Data,The 3D volumetric shape of the heart's left ventricle (LV) myocardium (MYO) wall provides important information for diagnosis of cardiac disease and invasive procedure navigation. Many cardiac image s,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1109/ICCV51070.2023.01933,"Continual Segment: Towards a Single, Unified and Non-forgetting Continual Segmentation Model of 143 Whole-body Organs in CT Scans","Deep learning empowers the mainstream medical image segmentation methods. Nevertheless, current deep segmentation approaches are not capable of efficiently and effectively adapting and updating the tr",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.media.2024.103310,MA-SAM: Modality-agnostic SAM adaptation for 3D medical image segmentation.,"The Segment Anything Model (SAM), a foundation model for general image segmentation, has demonstrated impressive zero-shot performance across numerous natural image segmentation tasks. However, SAM's ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3390/bioengineering10010116,AI-Driven Robust Kidney and Renal Mass Segmentation and Classification on 3D CT Images.,"Early intervention in kidney cancer helps to improve survival rates. Abdominal computed tomography (CT) is often used to diagnose renal masses. In clinical practice, the manual segmentation and quanti",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.7717/peerj-cs.3059,MDMU-Net: 3D multi-dimensional decoupled multi-scale U-Net for pancreatic cancer segmentation.,"Pancreatic cancer, as a highly lethal malignant tumor, presents significant challenges for early diagnosis and treatment. Accurate segmentation of the pancreas and tumors is crucial for surgical plann",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s10278-025-01468-9,AI-Based 3D Liver Segmentation and Volumetric Analysis in Living Donor Data.,This study investigated the application of deep learning for 3-dimensional (3D) liver segmentation and volumetric analysis in living donor liver transplantation. Using abdominal computed tomography da,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3389/fonc.2023.1137803,Validation of clinical acceptability of deep-learning-based automated segmentation of organs-at-risk for head-and-neck radiotherapy treatment planning.,"Organ-at-risk segmentation for head and neck cancer radiation therapy is a complex and time-consuming process (requiring up to 42 individual structure, and may delay start of treatment or even limit a",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2551093,Multilevel UNet for pancreas segmentation from non-contrast CT scans through domain adaptation,"A persistent issue in deep learning (DL) is the inability of models to function in a domain in which they were not trained. For example, a model trained to segment an organ in MRI scans often dramatic",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.acra.2024.01.004,nnU-Net-Based Pancreas Segmentation and Volume Measurement on CT Imaging in Patients with Pancreatic Cancer.,To develop and validate a deep learning (DL)-based method for pancreas segmentation on CT and automatic measurement of pancreatic volume in pancreatic cancer. This retrospective study used 3D nnU-net ,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.16997,Transfer learning for auto-segmentation of 17 organs-at-risk in the head and neck: Bridging the gap between institutional and public datasets.,"BACKGROUND
Auto-segmentation of organs-at-risk (OARs) in the head and neck (HN) on computed tomography (CT) images is a time-consuming component of the radiation therapy pipeline that suffers from int",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.24926/548719.095,Kidney and Kidney-tumor Segmentation Using Cascaded V-Nets,". Kidney cancer is the seventh most common cancer world-wide, accounting for an estimated 140,000 global deaths annually. Kidney segmentation in volumetric medical images plays an important role in cl",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1109/OJEMB.2024.3397623,BucketAugment: Reinforced Domain Generalisation in Abdominal CT Segmentation.,"<i>Goal:</i> In recent years, deep neural networks have consistently outperformed previously proposed methods in the domain of medical segmentation. However, due to their nature, these networks often ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.21037/qims-22-1008,Deep learning for fully automated segmentation and volumetry of Couinaud liver segments and future liver remnants shown with CT before major hepatectomy: a validation study of a predictive model.,"Recent reports have shown the potential for deep learning (DL) models to automatically segment of Couinaud liver segments and future liver remnant (FLR) for liver resections. However, these studies ha",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s00345-025-06049-7,Development and validation of a predictive model for adherent perirenal fat based on CT radiomics and deep learning.,"The study aimed to develop and validate a predictive model for preoperative APF using computed tomography (CT) radiomics combined with deep learning, and validating the performance of the model in an ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3390/bioengineering11070737,Dual Attention-Based 3D U-Net Liver Segmentation Algorithm on CT Images.,"The liver is a vital organ in the human body, and CT images can intuitively display its morphology. Physicians rely on liver CT images to observe its anatomical structure and areas of pathology, provi",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1371/journal.pone.0299366,Deep learning segmentation and registration-driven lung parenchymal volume and movement CT analysis in prone positioning.,To conduct a volumetric and movement analysis of lung parenchyma in prone positioning using deep neural networks (DNNs). We included patients with suspected interstitial lung abnormalities or disease ,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3390/jpm15080392,Comparison Between the Human-Sourced Ellipsoid Method and Kidney Volumetry Using Artificial Intelligence in Polycystic Kidney Disease.,"<b>Background:</b> The Mayo imaging classification (MIC) for polycystic kidney disease (PKD) is a crucial basis for clinical treatment decisions; however, the volumetric assessment for its evaluation ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1093/ckj/sfad167,Development of a multimodal kidney age prediction based on automatic segmentation CT image in patients with normal renal function.,"For decades, description of renal function has been of interest to clinicians and researchers. Serum creatinine (Scr) and estimated glomerular filtration rate (eGFR) are familiar but also limited in m",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.3390/s25061814,Multi-Scale Convolutional Attention and Structural Re-Parameterized Residual-Based 3D U-Net for Liver and Liver Tumor Segmentation from CT.,"Accurate segmentation of the liver and liver tumors is crucial for clinical diagnosis and treatment. However, the task poses significant challenges due to the complex morphology of tumors, indistinct ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.ijrobp.2023.08.017,Systematic Evaluation of the Impact of Lung Segmentation Methods on 4-Dimensional Computed Tomography Ventilation Imaging Using a Large Patient Database.,A novel form of lung functional imaging applied for functional avoidance radiation therapy has been developed that uses 4-dimensional computed tomography (4DCT) data and image processing techniques to,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.17848,Enhancing CT image segmentation accuracy through ensemble loss function optimization.,"In CT-based medical image segmentation, the choice of loss function profoundly impacts the training efficacy of deep neural networks. Traditional loss functions like cross entropy (CE), Dice, Boundary",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1177/15330338251327081,Deep Learning-Based Auto-Segmentation for Liver Yttrium-90 Selective Internal Radiation Therapy.,The aim was to evaluate a deep learning-based auto-segmentation method for liver delineation in Y-90 selective internal radiation therapy (SIRT). A deep learning (DL)-based liver segmentation model us,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
